"ftrt","ctrt","wheat","covercrop"
"Compost","All Mixture","3 ± 1","32 ± 4"
"Compost","Buckwheat Oat","2 ± 0","24 ± 4"
"Compost","Buckwheat","3 ± 0","22 ± 4"
"Compost","Faba Bean Oat","2 ± 1","34 ± 7"
"Compost","Faba Bean","3 ± 1","50 ± 11"
"Compost","Radish Oat","3 ± 1","25 ± 3"
"Compost","Radish","3 ± 0","22 ± 3"
"Compost","Oat","2 ± 0","10 ± 3"
"Compost","Fallow","2 ± 0","0 ± 0"
"Control","All Mixture","2 ± 0","31 ± 4"
"Control","Buckwheat Oat","2 ± 1","22 ± 2"
"Control","Buckwheat","2 ± 0","19 ± 2"
"Control","Faba Bean Oat","3 ± 0","36 ± 6"
"Control","Faba Bean","2 ± 0","36 ± 8"
"Control","Radish Oat","2 ± 0","12 ± 1"
"Control","Radish","2 ± 1","23 ± 1"
"Control","Oat","2 ± 0","12 ± 4"
"Control","Fallow","1 ± 0","0 ± 0"
"Inorganic Fertilizer","All Mixture","2 ± 0","34 ± 2"
"Inorganic Fertilizer","Buckwheat Oat","2 ± 0","26 ± 3"
"Inorganic Fertilizer","Buckwheat","3 ± 0","25 ± 4"
"Inorganic Fertilizer","Faba Bean Oat","2 ± 0","31 ± 8"
"Inorganic Fertilizer","Faba Bean","2 ± 1","26 ± 7"
"Inorganic Fertilizer","Radish Oat","3 ± 1","18 ± 3"
"Inorganic Fertilizer","Radish","3 ± 1","19 ± 3"
"Inorganic Fertilizer","Oat","2 ± 0","12 ± 3"
"Inorganic Fertilizer","Fallow","1 ± 0","0 ± 0"
