"ftrt","ctrt","wheat","covercrop"
"Compost","All Mixture","3 ± 2","32 ± 11"
"Compost","Buckwheat Oat","2 ± 1","24 ± 11"
"Compost","Buckwheat","3 ± 1","22 ± 10"
"Compost","Faba Bean Oat","2 ± 2","34 ± 19"
"Compost","Faba Bean","3 ± 2","50 ± 30"
"Compost","Radish Oat","3 ± 2","25 ± 8"
"Compost","Radish","3 ± 1","22 ± 8"
"Compost","Oat","2 ± 1","10 ± 10"
"Compost","Fallow","2 ± 1","0 ± 0"
"Control","All Mixture","2 ± 1","31 ± 12"
"Control","Buckwheat Oat","2 ± 2","22 ± 6"
"Control","Buckwheat","2 ± 1","19 ± 4"
"Control","Faba Bean Oat","3 ± 1","36 ± 17"
"Control","Faba Bean","2 ± 1","36 ± 22"
"Control","Radish Oat","2 ± 1","12 ± 3"
"Control","Radish","2 ± 2","23 ± 3"
"Control","Oat","2 ± 1","12 ± 10"
"Control","Fallow","1 ± 0","0 ± 0"
"Inorganic Fertilizer","All Mixture","2 ± 1","34 ± 7"
"Inorganic Fertilizer","Buckwheat Oat","2 ± 1","26 ± 9"
"Inorganic Fertilizer","Buckwheat","3 ± 1","25 ± 11"
"Inorganic Fertilizer","Faba Bean Oat","2 ± 1","31 ± 21"
"Inorganic Fertilizer","Faba Bean","2 ± 2","26 ± 20"
"Inorganic Fertilizer","Radish Oat","3 ± 2","18 ± 8"
"Inorganic Fertilizer","Radish","3 ± 2","19 ± 7"
"Inorganic Fertilizer","Oat","2 ± 1","12 ± 8"
"Inorganic Fertilizer","Fallow","1 ± 1","0 ± 0"
