"","cbio","wbio","pbic_percbio","amac_percbio","unavp_percbio","porg_percbio","inorgcarbon_percbio","amm_percbio","nit_percbio","pmn_percbio","pmc_percbio"
"cbio",NA,0.00696583745497348,7.76604114349766e-10,0,7.57002682760799e-10,9.7192476289365e-11,7.48827821972498e-09,2.23006058064357e-11,4.14726919473196e-09,0.000485441000275699,5.13605571406117e-08
"wbio",0.00696583745497348,NA,0.220220461316606,0.0334261505815199,0.292360264311041,0.289018485505539,0.596659032210246,0.815359070394345,0.14797459885984,0.689772188628717,0.579433333088721
"pbic_percbio",7.76604114349766e-10,0.220220461316606,NA,0,1.56255662704385e-05,4.44089209850063e-16,0.000256303790264312,7.69984613846475e-08,1.01672004149123e-11,0.103365492831495,0.00376091870417006
"amac_percbio",0,0.0334261505815199,0,NA,3.67763597353132e-11,0,1.89275262130195e-11,4.44089209850063e-16,1.18283161043564e-12,0.00191917271037867,5.95024696181667e-09
"unavp_percbio",7.57002682760799e-10,0.292360264311041,1.56255662704385e-05,3.67763597353132e-11,NA,0.0156430768031455,0.0267548353555602,1.64348534781311e-11,0.0050229491792213,0.00351786412420418,0.00144943558581012
"porg_percbio",9.7192476289365e-11,0.289018485505539,4.44089209850063e-16,0,0.0156430768031455,NA,1.99995575655976e-12,1.90869024363494e-07,0,0.0445611507871626,7.05659920212653e-05
"inorgcarbon_percbio",7.48827821972498e-09,0.596659032210246,0.000256303790264312,1.89275262130195e-11,0.0267548353555602,1.99995575655976e-12,NA,0.000166355851637379,2.38139664299197e-06,0.00222943478974846,1.53565282712265e-08
"amm_percbio",2.23006058064357e-11,0.815359070394345,7.69984613846475e-08,4.44089209850063e-16,1.64348534781311e-11,1.90869024363494e-07,0.000166355851637379,NA,6.96339987049654e-06,0.000534191862483713,4.37623825910727e-06
"nit_percbio",4.14726919473196e-09,0.14797459885984,1.01672004149123e-11,1.18283161043564e-12,0.0050229491792213,0,2.38139664299197e-06,6.96339987049654e-06,NA,0.0163487740628736,0.0018196757250859
"pmn_percbio",0.000485441000275699,0.689772188628717,0.103365492831495,0.00191917271037867,0.00351786412420418,0.0445611507871626,0.00222943478974846,0.000534191862483713,0.0163487740628736,NA,1.25798256078724e-06
"pmc_percbio",5.13605571406117e-08,0.579433333088721,0.00376091870417006,5.95024696181667e-09,0.00144943558581012,7.05659920212653e-05,1.53565282712265e-08,4.37623825910727e-06,0.0018196757250859,1.25798256078724e-06,NA
