"ctrt","ftrt","time","abts","ag","bg","lap","nag","phos"
"All","Compost","T1","-0.15 ± 0.01","1.77 ± 0.63","11.97 ± 2.39","15.46 ± 0.46","3.26 ± 0.41","7.89 ± 0.45"
"All","Compost","T2","0 ± 0.02","1.78 ± 0.25","9.41 ± 0.26","14.94 ± 0.48","2 ± 0.59","6.76 ± 0.55"
"All","Compost","T3","-0.06 ± 0.06","0.87 ± 0.33","8.85 ± 2.74","12.14 ± 3.41","1.22 ± 0.71","5.32 ± 1.99"
"All","Control","T1","-0.05 ± 0.01","0.51 ± 0.21","4.56 ± 1.07","5.8 ± 1.17","0.68 ± 0.13","2.37 ± 0.33"
"All","Control","T2","-0.08 ± 0.04","0.61 ± 0.12","4.79 ± 0.49","7.54 ± 0.78","0.45 ± 0.09","2.39 ± 0.58"
"All","Control","T3","-0.01 ± 0.02","0.75 ± 0.56","5.46 ± 2.22","6.48 ± 2.82","0.54 ± 0.41","2.75 ± 1.35"
"Faba","Compost","T1","-0.01 ± 0.02","1.14 ± 0.58","7.37 ± 2.62","10.24 ± 1.72","1.6 ± 0.68","3.16 ± 0.92"
"Faba","Compost","T2","-0.01 ± 0.01","0.13 ± 0.02","2.34 ± 0.04","4.02 ± 0.16","0.2 ± 0.04","1.6 ± 0.1"
"Faba","Compost","T3","0.01 ± 0.01","0.1 ± 0.05","1.69 ± 0.03","2.05 ± 0.24","0.13 ± 0.06","1.11 ± 0.1"
"Faba","Control","T1","-0.05 ± 0.02","1.46 ± 0.77","6.37 ± 2.62","6.56 ± 2.22","1.94 ± 1.19","3.97 ± 1.34"
"Faba","Control","T2","-0.03 ± 0.01","0.25 ± 0.06","2.82 ± 0.48","3.51 ± 0.5","0.4 ± 0.2","2.26 ± 0.33"
"Faba","Control","T3","0.04 ± 0.01","0.35 ± 0.29","2.62 ± 0.94","2.85 ± 0.76","0.48 ± 0.2","1.69 ± 0.5"
"Faba Oat","Compost","T1","-0.12 ± 0.05","0.97 ± 0.42","9.55 ± 2.97","10.44 ± 2.37","0.9 ± 0.35","4.67 ± 1.17"
"Faba Oat","Compost","T2","-0.04 ± 0.05","1.45 ± 0.56","8.22 ± 1.37","10.89 ± 1.92","1.12 ± 0.25","4.93 ± 1.24"
"Faba Oat","Compost","T3","0 ± 0.02","0.32 ± 0.12","4.2 ± 0.83","6.52 ± 1.01","1.1 ± 0.78","3.63 ± 1.18"
"Faba Oat","Control","T1","-0.04 ± 0","0.21 ± 0.08","3.62 ± 0.79","6.73 ± 2.04","0.4 ± 0.08","2.5 ± 0.69"
"Faba Oat","Control","T2","-0.06 ± 0.02","0.3 ± 0.11","2.95 ± 0.59","4.8 ± 0.52","0.27 ± 0.06","2.4 ± 0.68"
"Faba Oat","Control","T3","-0.02 ± 0.01","0.51 ± 0.14","4.44 ± 0.62","7.17 ± 0.37","0.92 ± 0.22","3.59 ± 0.17"
"Oat","Compost","T1","-0.05 ± 0.02","0.36 ± 0.27","4.84 ± 2.2","7.51 ± 2.68","1.68 ± 1.43","3.6 ± 1.08"
"Oat","Compost","T2","0 ± 0.01","0.17 ± 0.05","3.91 ± 0.43","6.83 ± 0.88","0.43 ± 0.18","3.07 ± 0.45"
"Oat","Compost","T3","0.07 ± 0.03","0.28 ± 0.23","3.3 ± 0.94","4.44 ± 0.83","0.29 ± 0.2","2.79 ± 0.83"
"Oat","Control","T1","-0.03 ± 0.01","0 ± 0.07","3.31 ± 0.46","5.57 ± 0.81","0.19 ± 0.11","2.86 ± 0.26"
"Oat","Control","T2","0.03 ± 0.02","0.33 ± 0.14","4.64 ± 0.71","6.73 ± 0.59","0.55 ± 0.25","2.99 ± 0.43"
"Oat","Control","T3","0.19 ± 0.02","0.64 ± 0.19","5.38 ± 0.46","6.25 ± 0.67","1.12 ± 0.28","4.84 ± 0.12"
"Radish","Compost","T1","-0.04 ± 0.03","0.23 ± 0.09","4.49 ± 0.48","7.68 ± 1.82","0.92 ± 0.55","2.93 ± 0.22"
"Radish","Compost","T2","-0.05 ± 0.03","0.43 ± 0.16","4.23 ± 0.75","8.01 ± 0.84","0.99 ± 0.29","4.43 ± 0.74"
"Radish","Compost","T3","-0.04 ± 0.02","0.7 ± 0.31","5.89 ± 0.83","9.34 ± 2.12","6.03 ± 4.45","5.08 ± 0.3"
"Radish","Control","T1","-0.01 ± 0.01","0.91 ± 0.23","5.83 ± 1.3","9.87 ± 4.56","1.13 ± 0.22","3.28 ± 1"
"Radish","Control","T2","-0.11 ± 0.05","0.13 ± 0.08","0.95 ± 1.07","2.94 ± 0.81","0.14 ± 0.04","1.63 ± 0.89"
"Radish","Control","T3","0 ± 0.02","0.53 ± 0.24","3.53 ± 0.73","4.39 ± 1.28","0.58 ± 0.16","2.65 ± 0.5"
