"ctrt","ftrt","time","amac","pbic","porg","unavp"
"All Mixture","Compost","1","67.1 ± 2.62 a","25.31 ± 3.69 a","290.48 ± 22.96 a","21.47 ± 4.22 b"
"All Mixture","Compost","2","59.36 ± 2.52 a","28.72 ± 2.73 a","219.76 ± 17.52 a","42.61 ± 2.4 a"
"All Mixture","Control","1","61.11 ± 1.57 a","12.69 ± 1.73 b","255.74 ± 21.05 a","50.83 ± 4.98 a"
"All Mixture","Control","2","49.48 ± 0.16 b","22.06 ± 0.35 a","195.5 ± 14.42 a","51.02 ± 2.28 a"
"All Mixture","Inorganic Fertilizer","1","63.03 ± 2.91 a","13.76 ± 1.92 b","280.82 ± 7.93 a","46.1 ± 4.93 a"
"All Mixture","Inorganic Fertilizer","2","51.32 ± 1.6 b","23.16 ± 1.11 a","204.76 ± 5.25 a","48.65 ± 4.11 a"
"Buckwheat","Compost","1","75.06 ± 6.74 a","29.81 ± 9.79 a","406.53 ± 95.5 a","48.45 ± 19.41 b"
"Buckwheat","Compost","2","53.03 ± 0.78 a","30.02 ± 1.47 a","199.94 ± 4.95 a","58.72 ± 6.2 a"
"Buckwheat","Control","1","62.34 ± 2.1 a","9.79 ± 0.78 b","207.41 ± 24.27 a","114.35 ± 2.47 a"
"Buckwheat","Control","2","45.86 ± 0.4 b","21.83 ± 0.32 b","171.97 ± 20.11 a","73.61 ± 2.41 a"
"Buckwheat","Inorganic Fertilizer","1","67.64 ± 6.59 a","13.13 ± 2.3 ab","255.14 ± 20.82 a","74.08 ± 15.26 ab"
"Buckwheat","Inorganic Fertilizer","2","50.79 ± 0.69 a","23.55 ± 0.49 b","208.69 ± 9.35 a","65.11 ± 4.4 a"
"Buckwheat Oat","Compost","1","76.82 ± 2.34 a","35.7 ± 5.74 a","195.58 ± 24.78 a","130.02 ± 19.8 a"
"Buckwheat Oat","Compost","2","56.29 ± 2.53 a","28.24 ± 2.8 a","207.38 ± 5.5 a","76 ± 3.7 a"
"Buckwheat Oat","Control","1","69.03 ± 1.22 b","15.48 ± 1.11 b","166.1 ± 18.8 a","144.1 ± 11.65 a"
"Buckwheat Oat","Control","2","50.2 ± 1.13 a","20.47 ± 0.76 b","192.61 ± 3.94 a","84.68 ± 2.04 a"
"Buckwheat Oat","Inorganic Fertilizer","1","70.36 ± 1.21 ab","12.81 ± 1.33 b","141.69 ± 18.97 a","149.84 ± 8.23 a"
"Buckwheat Oat","Inorganic Fertilizer","2","52.34 ± 0.43 a","22.28 ± 0.2 ab","194.38 ± 7.43 a","75.17 ± 4.58 a"
"Faba Bean","Compost","1","70.97 ± 3.36 a","24.67 ± 2.2 a","179.63 ± 24.63 a","132.72 ± 13.82 a"
"Faba Bean","Compost","2","56.58 ± 1 a","34.05 ± 3.01 a","195.96 ± 11.79 a","84.67 ± 6.37 a"
"Faba Bean","Control","1","71.97 ± 2.06 a","12.53 ± 5.27 b","218.63 ± 1.25 a","98.58 ± 10.96 a"
"Faba Bean","Control","2","53.43 ± 2.11 a","28.27 ± 5.41 a","195.85 ± 13.77 a","76.1 ± 5.67 ab"
"Faba Bean","Inorganic Fertilizer","1","77.66 ± 0.74 a","14.37 ± 0.8 ab","236.66 ± 21.51 a","93.13 ± 15.8 a"
"Faba Bean","Inorganic Fertilizer","2","56.25 ± 2.8 a","35.27 ± 5.17 a","213.56 ± 11.22 a","58.06 ± 7.78 b"
"Faba Bean Oat","Compost","1","82.24 ± 1.21 a","38.89 ± 2.65 a","145.31 ± 16.22 a","152.75 ± 17.97 b"
"Faba Bean Oat","Compost","2","54.03 ± 1.82 a","30.63 ± 1.45 a","183.24 ± 9.89 a","90.86 ± 7.07 a"
"Faba Bean Oat","Control","1","50.42 ± 1.43 b","10.41 ± 1.95 b","119.59 ± 10.62 a","232.72 ± 3.13 a"
"Faba Bean Oat","Control","2","52.18 ± 1.13 a","23.28 ± 1.36 b","152.81 ± 9.01 a","111.49 ± 6.98 a"
"Faba Bean Oat","Inorganic Fertilizer","1","43.64 ± 5.62 b","13.73 ± 0.78 b","109.78 ± 17.58 a","215.9 ± 10.41 a"
"Faba Bean Oat","Inorganic Fertilizer","2","52.49 ± 1.67 a","25.45 ± 2.11 ab","167.62 ± 6.58 a","87.53 ± 7.33 a"
"Fallow","Compost","1","82.38 ± 3.61 a","18.23 ± 0.77 a","64.64 ± 59.59 a","150.78 ± 56.45 a"
"Fallow","Compost","2","53.25 ± 1.39 a","29.83 ± 0.99 a","167.26 ± 15.38 a","119.62 ± 11.52 a"
"Fallow","Control","1","49.01 ± 13.09 a","7.83 ± 5.27 a","163.94 ± 11.37 a","161.04 ± 21.92 a"
"Fallow","Control","2","50.77 ± 0.23 a","24.38 ± 0.56 b","197.31 ± 23.72 a","66 ± 11.84 a"
"Fallow","Inorganic Fertilizer","1","54.27 ± 12.41 a","10.51 ± 8.64 a","122.89 ± 42.89 a","170.95 ± 37.39 a"
"Fallow","Inorganic Fertilizer","2","52.77 ± 1.39 a","27.57 ± 0.45 a","213.17 ± 27.23 a","72.88 ± 23.36 a"
"Oat","Compost","1","72.89 ± 3.16 a","21.18 ± 3.1 a","157.23 ± 36.38 a","167.37 ± 73.26 a"
"Oat","Compost","2","54.92 ± 1.6 a","31.06 ± 2.29 a","222.75 ± 17.37 a","113.02 ± 26.57 a"
"Oat","Control","1","70.02 ± 1.59 a","10.36 ± 0.59 b","130.52 ± 33.96 a","184.17 ± 37.34 a"
"Oat","Control","2","52.06 ± 1.32 ab","23.02 ± 0.69 b","191.36 ± 17.41 ab","91.34 ± 10.49 a"
"Oat","Inorganic Fertilizer","1","71.42 ± 3.2 a","10.95 ± 1.15 b","133.03 ± 13.45 a","136.12 ± 8.2 a"
"Oat","Inorganic Fertilizer","2","49.23 ± 1.23 b","22.83 ± 0.47 b","144.4 ± 13.54 b","105.46 ± 10.18 a"
"Radish","Compost","1","64.57 ± 2.41 a","25.36 ± 2.25 a","109.92 ± 30.64 b","195.26 ± 36.19 a"
"Radish","Compost","2","52.3 ± 1.1 a","28.46 ± 1.42 a","154.5 ± 17.32 a","120.21 ± 18 a"
"Radish","Control","1","60.03 ± 3.93 a","12.64 ± 1.22 b","242.65 ± 16.62 a","86.64 ± 26.44 b"
"Radish","Control","2","46.41 ± 0.39 b","21.88 ± 0.9 b","164.39 ± 10.1 a","72.75 ± 11.01 a"
"Radish","Inorganic Fertilizer","1","55.37 ± 1.73 a","12.83 ± 1.53 b","229.5 ± 8.59 a","73.19 ± 11.73 b"
"Radish","Inorganic Fertilizer","2","45.64 ± 0.41 b","23.67 ± 1.02 b","132.26 ± 15.71 a","88.1 ± 13.66 a"
"Radish Oat","Compost","1","68.39 ± 3.8 a","21.37 ± 6.59 a","229.67 ± 8.95 a","52.04 ± 10.36 b"
"Radish Oat","Compost","2","51.01 ± 1.19 a","24 ± 0.91 a","222.95 ± 6.11 a","55.88 ± 3.08 a"
"Radish Oat","Control","1","63.37 ± 2.77 a","17.01 ± 1.41 a","199.47 ± 40.25 a","104.76 ± 13.71 a"
"Radish Oat","Control","2","50.82 ± 0.76 a","22.12 ± 0.27 a","188.71 ± 14.7 a","63.85 ± 4.58 a"
"Radish Oat","Inorganic Fertilizer","1","68.33 ± 0.8 a","11.87 ± 1.71 a","253.96 ± 26.82 a","58.85 ± 7.82 b"
"Radish Oat","Inorganic Fertilizer","2","52.15 ± 1.19 a","23.02 ± 1.16 a","183.07 ± 11.95 a","52.79 ± 5.94 a"
