"","cbio","wbio","pbic","amac","unavp","porg","amm","nit","pmn","pmc"
"cbio",1,0.225309942528345,-0.0195555341327839,0.0526849069659103,-0.0242588364933108,-0.0178051377872004,0.0768364215236028,0.293641081470428,0.0284391003877432,0.0667046500553845
"wbio",0.225309942528345,1,-0.0354778010897939,0.0360830453585137,-0.0392195114942094,0.0973857961584767,0.154115238096568,-0.0490483927628307,0.0147356868947419,0.0902845879281535
"pbic",-0.0195555341327839,-0.0354778010897939,1,-0.0234141389474384,-0.261085505765831,0.16090932444393,0.0716332261459451,0.087694304004876,0.0869595273383255,0.019319666998919
"amac",0.0526849069659103,0.0360830453585137,-0.0234141389474384,1,0.0848179795286386,0.108541314853278,-0.0313144774713866,-0.00515938219092817,-0.0886081389067883,0.138985497884538
"unavp",-0.0242588364933108,-0.0392195114942094,-0.261085505765831,0.0848179795286386,1,-0.585583462240789,0.0487045198682136,-0.00157747837871803,-0.0100685484938461,-0.0920880353269266
"porg",-0.0178051377872004,0.0973857961584767,0.16090932444393,0.108541314853278,-0.585583462240789,1,-0.0151776174979532,0.0386913737714335,-0.0162727189665276,0.0668186537983825
"amm",0.0768364215236028,0.154115238096568,0.0716332261459451,-0.0313144774713866,0.0487045198682136,-0.0151776174979532,1,0.155930228759824,0.136671655478659,0.229213297421137
"nit",0.293641081470428,-0.0490483927628307,0.087694304004876,-0.00515938219092817,-0.00157747837871803,0.0386913737714335,0.155930228759824,1,0.132083984657808,-0.0352462535369325
"pmn",0.0284391003877432,0.0147356868947419,0.0869595273383255,-0.0886081389067883,-0.0100685484938461,-0.0162727189665276,0.136671655478659,0.132083984657808,1,0.203457908150869
"pmc",0.0667046500553845,0.0902845879281535,0.019319666998919,0.138985497884538,-0.0920880353269266,0.0668186537983825,0.229213297421137,-0.0352462535369325,0.203457908150869,1
