ctrt,ftrt,time,abts,ag,bg,lap,nag,phos
All,Compost,T1,-0.15 ñ 0.01,1.77 ñ 0.63,11.97 ñ 2.39,15.46 ñ 0.46,3.26 ñ 0.41,7.89 ñ 0.45
All,Compost,T2,0 ñ 0.02,1.78 ñ 0.25,9.41 ñ 0.26,14.94 ñ 0.48,2 ñ 0.59,6.76 ñ 0.55
All,Compost,T3,-0.06 ñ 0.06,0.87 ñ 0.33,8.85 ñ 2.74,12.14 ñ 3.41,1.22 ñ 0.71,5.32 ñ 1.99
Faba,Compost,T1,-0.01 ñ 0.02,1.14 ñ 0.58,7.37 ñ 2.62,10.24 ñ 1.72,1.6 ñ 0.68,3.16 ñ 0.92
Faba,Compost,T2,-0.01 ñ 0.01,0.13 ñ 0.02,2.34 ñ 0.04,4.02 ñ 0.16,0.2 ñ 0.04,1.6 ñ 0.1
Faba,Compost,T3,0.01 ñ 0.01,0.1 ñ 0.05,1.69 ñ 0.03,2.05 ñ 0.24,0.13 ñ 0.06,1.11 ñ 0.1
Faba Oat,Compost,T1,-0.12 ñ 0.05,0.97 ñ 0.42,9.55 ñ 2.97,10.44 ñ 2.37,0.9 ñ 0.35,4.67 ñ 1.17
Faba Oat,Compost,T2,-0.04 ñ 0.05,1.45 ñ 0.56,8.22 ñ 1.37,10.89 ñ 1.92,1.12 ñ 0.25,4.93 ñ 1.24
Faba Oat,Compost,T3,0 ñ 0.02,0.32 ñ 0.12,4.2 ñ 0.83,6.52 ñ 1.01,1.1 ñ 0.78,3.63 ñ 1.18
Oat,Compost,T1,-0.05 ñ 0.02,0.36 ñ 0.27,4.84 ñ 2.2,7.51 ñ 2.68,1.68 ñ 1.43,3.6 ñ 1.08
Oat,Compost,T2,0 ñ 0.01,0.17 ñ 0.05,3.91 ñ 0.43,6.83 ñ 0.88,0.43 ñ 0.18,3.07 ñ 0.45
Oat,Compost,T3,0.07 ñ 0.03,0.28 ñ 0.23,3.3 ñ 0.94,4.44 ñ 0.83,0.29 ñ 0.2,2.79 ñ 0.83
Radish,Compost,T1,-0.04 ñ 0.03,0.23 ñ 0.09,4.49 ñ 0.48,7.68 ñ 1.82,0.92 ñ 0.55,2.93 ñ 0.22
Radish,Compost,T2,-0.05 ñ 0.03,0.43 ñ 0.16,4.23 ñ 0.75,8.01 ñ 0.84,0.99 ñ 0.29,4.43 ñ 0.74
Radish,Compost,T3,-0.04 ñ 0.02,0.7 ñ 0.31,5.89 ñ 0.83,9.34 ñ 2.12,6.03 ñ 4.45,5.08 ñ 0.3
All,Control,T1,-0.05 ñ 0.01,0.51 ñ 0.21,4.56 ñ 1.07,5.8 ñ 1.17,0.68 ñ 0.13,2.37 ñ 0.33
All,Control,T2,-0.08 ñ 0.04,0.61 ñ 0.12,4.79 ñ 0.49,7.54 ñ 0.78,0.45 ñ 0.09,2.39 ñ 0.58
All,Control,T3,-0.01 ñ 0.02,0.75 ñ 0.56,5.46 ñ 2.22,6.48 ñ 2.82,0.54 ñ 0.41,2.75 ñ 1.35
Faba,Control,T1,-0.05 ñ 0.02,1.46 ñ 0.77,6.37 ñ 2.62,6.56 ñ 2.22,1.94 ñ 1.19,3.97 ñ 1.34
Faba,Control,T2,-0.03 ñ 0.01,0.25 ñ 0.06,2.82 ñ 0.48,3.51 ñ 0.5,0.4 ñ 0.2,2.26 ñ 0.33
Faba,Control,T3,0.04 ñ 0.01,0.35 ñ 0.29,2.62 ñ 0.94,2.85 ñ 0.76,0.48 ñ 0.2,1.69 ñ 0.5
Faba Oat,Control,T1,-0.04 ñ 0,0.21 ñ 0.08,3.62 ñ 0.79,6.73 ñ 2.04,0.4 ñ 0.08,2.5 ñ 0.69
Faba Oat,Control,T2,-0.06 ñ 0.02,0.3 ñ 0.11,2.95 ñ 0.59,4.8 ñ 0.52,0.27 ñ 0.06,2.4 ñ 0.68
Faba Oat,Control,T3,-0.02 ñ 0.01,0.51 ñ 0.14,4.44 ñ 0.62,7.17 ñ 0.37,0.92 ñ 0.22,3.59 ñ 0.17
Oat,Control,T1,-0.03 ñ 0.01,0 ñ 0.07,3.31 ñ 0.46,5.57 ñ 0.81,0.19 ñ 0.11,2.86 ñ 0.26
Oat,Control,T2,0.03 ñ 0.02,0.33 ñ 0.14,4.64 ñ 0.71,6.73 ñ 0.59,0.55 ñ 0.25,2.99 ñ 0.43
Oat,Control,T3,0.19 ñ 0.02,0.64 ñ 0.19,5.38 ñ 0.46,6.25 ñ 0.67,1.12 ñ 0.28,4.84 ñ 0.12
Radish,Control,T1,-0.01 ñ 0.01,0.91 ñ 0.23,5.83 ñ 1.3,9.87 ñ 4.56,1.13 ñ 0.22,3.28 ñ 1
Radish,Control,T2,-0.11 ñ 0.05,0.13 ñ 0.08,0.95 ñ 1.07,2.94 ñ 0.81,0.14 ñ 0.04,1.63 ñ 0.89
Radish,Control,T3,0 ñ 0.02,0.53 ñ 0.24,3.53 ñ 0.73,4.39 ñ 1.28,0.58 ñ 0.16,2.65 ñ 0.5
