,Fertility,Cover Crop,Reserve P,Available P,Organic P,Fixed P
1,Compost,All,31.5 ñ 1.73 a,12.42 ñ 1.14 a,56.07 ñ 2.87 a,0 ñ 0 a
2,Compost,Faba,27.49 ñ 2.36 ab,8.22 ñ 1.16 b,59.17 ñ 2.31 a,5.12 ñ 4.76 a
3,Compost,Faba Oat,25.77 ñ 0.31 ab,11.65 ñ 0.46 ab,62.57 ñ 0.4 a,0 ñ 0 a
4,Compost,Oat,24.54 ñ 0.86 ab,9.66 ñ 0.59 ab,63.71 ñ 0.2 a,2.09 ñ 1.13 a
5,Compost,Radish,17.76 ñ 4.6 b,12.72 ñ 0.56 a,65.57 ñ 3.16 a,3.94 ñ 3.94 a
6,Control,Faba,28.32 ñ 1.77 a,11.3 ñ 0.98 a,55.92 ñ 0.98 b,4.46 ñ 0.57 a
7,Control,Faba Oat,27.57 ñ 1.28 a,8.68 ñ 0.88 a,58.12 ñ 0.93 ab,5.63 ñ 2.82 a
8,Control,All,27.01 ñ 0.86 a,9.13 ñ 0.37 a,59.74 ñ 0.94 ab,4.12 ñ 0.12 a
9,Control,Oat,26.95 ñ 1.44 a,9.67 ñ 2.01 a,57.93 ñ 0.65 ab,5.44 ñ 2.76 a
10,Control,Radish,24.78 ñ 0.33 a,9.55 ñ 0.17 a,60.2 ñ 0.53 a,5.46 ñ 0.69 a
