"","wheat biomass 2","cover crop biomass 2","available P 2","reserve P 2","fixed P 2","organic P 2","total P 2","ammonium 2","nitrate 2","pmn 2","pmc 2","wheat biomass 1","cover crop biomass 1","available P 1","reserve P 1","fixed P 1","organic P 1","total P 1","calcium carbonate 1","ph 1","ammonium 1","nitrate 1","pmn 1","pmc 1"
"wheat biomass 2",1,0.293915226926208,-0.0224707601378998,-0.0851606183663093,-0.0933699355034463,0.0431543260959594,-0.0243053761868407,0.0881262782992385,0.0499205539850171,-0.0251378749453635,-0.0109581325107775,0.0554102839232871,0.100230186941291,0.0927999770532368,-0.113181489879107,-0.00778254860644362,0.035888587166632,0.0856281861498439,0.0435810675621446,-0.0575119765896442,-0.0324447564122764,-0.0126294932925537,0.00273777140991168,0.0374474474881895
"cover crop biomass 2",0.293915226926208,1,-0.0291777621340987,-0.00139183108793208,-0.0379658316743661,-0.101358027255232,-0.0915626623171441,0.186539388634323,0.539861900770758,0.0974557050184314,0.160883476360953,0.121545944183232,0.241007211665279,0.140033666085794,-0.124859964075316,-0.0575090449882664,0.100134405214119,0.151857825594857,-0.0675659240029431,-0.34020615947135,0.00682665794248972,0.157750765273667,0.0973764557356606,0.00961877349492851
"available P 2",-0.0224707601378998,-0.0291777621340987,1,0.686169039898925,0.0764458510797775,0.293431151531321,0.576104508821773,0.136174615925691,0.157421134434806,0.34180880844066,0.234664569892666,0.180914747980897,0.0664736926433478,0.461206362919666,0.352105174371895,0.0309740940735925,-0.0330502247716845,0.194177383277051,-0.106847321718004,0.0392539718127429,0.120275450136233,0.0798870106742798,-0.0191549976567729,0.0258321210696741
"reserve P 2",-0.0851606183663093,-0.00139183108793208,0.686169039898925,1,-0.0615458498837226,0.410730101206648,0.627279255623737,0.18282753536812,0.314193747474916,0.396767214545841,0.369977252713963,0.12571775169119,0.179785900031373,0.412747690644372,0.353408093611679,0.0535033537553991,-0.061649204738208,0.166080518967638,-0.0553792579153209,-0.0958205268761376,0.14325857884519,-0.0194631845484948,0.083813076647734,0.108702750341641
"fixed P 2",-0.0933699355034463,-0.0379658316743661,0.0764458510797775,-0.0615458498837226,1,-0.535248694155582,0.130659132905886,-0.147858206230955,-0.0262738635462107,-0.263401545076301,-0.226144782508898,0.0666331895438844,-0.110401676369138,-0.0192676704190321,-0.0408457955361981,0.66707237799353,-0.633932190061023,-0.0601018687284504,-0.379553347159111,0.39807392485973,0.0972404150043741,0.0306285235778956,0.12426298625558,-0.0704023087898053
"organic P 2",0.0431543260959594,-0.101358027255232,0.293431151531321,0.410730101206648,-0.535248694155582,1,0.680227961251352,0.229949736883043,0.0893880536798683,0.273685960969079,0.230550534012091,-0.00334260053990668,0.187819201522588,0.209435441307591,0.323389969380929,-0.328049769525766,0.323604682009747,0.118372240537615,0.168028462222949,-0.206134988584386,0.0125194544501499,-0.119130076469359,-0.171325850479116,0.110162542119817
"total P 2",-0.0243053761868407,-0.0915626623171441,0.576104508821773,0.627279255623737,0.130659132905886,0.680227961251352,1,0.161648835240341,0.194723001122033,0.249773957267421,0.163176256043612,0.0997636421585936,0.161861808112164,0.354200046819844,0.403619694631671,0.177139856320018,-0.15687070305292,0.147882233928195,-0.14577336486046,0.0480452968729956,0.115831824014988,-0.110404836275701,-0.0577275726460802,0.0747208914101757
"ammonium 2",0.0881262782992385,0.186539388634323,0.136174615925691,0.18282753536812,-0.147858206230955,0.229949736883043,0.161648835240341,1,0.369492493000346,0.286805247149813,0.235358040362387,-0.046396035250919,0.135972101194126,0.189737357472868,0.0767170622578583,0.0294365144415473,0.0372213729557259,0.15436170555176,-0.0629965034048462,-0.248910099296151,-0.0229783077162478,0.0608345390045409,0.0521663231896235,0.0270859769505558
"nitrate 2",0.0499205539850171,0.539861900770758,0.157421134434806,0.314193747474916,-0.0262738635462107,0.0893880536798683,0.194723001122033,0.369492493000346,1,0.264788629801401,0.270197215610223,0.00404000505344889,0.21593963879134,0.180546499402886,-0.0136326285274142,0.156483581333833,-0.0999368002353286,0.127362583747238,-0.192470618790212,-0.350688417944154,0.05377043996765,0.0952403673305679,0.149992172320478,0.00769732775249881
"pmn 2",-0.0251378749453635,0.0974557050184314,0.34180880844066,0.396767214545841,-0.263401545076301,0.273685960969079,0.249773957267421,0.286805247149813,0.264788629801401,1,0.296563965554674,0.0111844484171798,0.0863010660683128,0.259744967702401,0.214431568433904,-0.102189274065093,0.112791183711676,0.139932491268741,0.0447166953328708,-0.23342374085896,0.0275433362214115,0.0135060031309319,-0.00250895596935944,0.031727778831416
"pmc 2",-0.0109581325107775,0.160883476360953,0.234664569892666,0.369977252713963,-0.226144782508898,0.230550534012091,0.163176256043612,0.235358040362387,0.270197215610223,0.296563965554674,1,-0.00568427031037726,0.0941902376489269,0.113891709454124,0.108846880252242,-0.0398339604653993,0.079913753565932,0.129546573945964,0.0685032588823546,-0.251245820464936,0.0332727025059861,0.0717347693443166,0.0255247766661671,-0.0131032581407824
"wheat biomass 1",0.0554102839232871,0.121545944183232,0.180914747980897,0.12571775169119,0.0666331895438844,-0.00334260053990668,0.0997636421585936,-0.046396035250919,0.00404000505344889,0.0111844484171798,-0.00568427031037726,1,0.276329692199431,0.0263939265690488,-0.0946989656254297,0.0217609207391279,-0.0271582518102518,0.0379125121289559,0.154410157844271,0.1841288086621,0.134770602838398,-0.253917485080492,0.113999278499903,0.100127453651794
"cover crop biomass 1",0.100230186941291,0.241007211665279,0.0664736926433478,0.179785900031373,-0.110401676369138,0.187819201522588,0.161861808112164,0.135972101194126,0.21593963879134,0.0863010660683128,0.0941902376489269,0.276329692199431,1,0.0166974126506313,0.0551307396032554,-0.0877026801932204,0.0589560594998315,0.0336737914813,0.018133080967016,-0.110748973423922,0.00711649929000375,-0.223070442465483,0.0547291929142745,0.0876867557368505
"available P 1",0.0927999770532368,0.140033666085794,0.461206362919666,0.412747690644372,-0.0192676704190321,0.209435441307591,0.354200046819844,0.189737357472868,0.180546499402886,0.259744967702401,0.113891709454124,0.0263939265690488,0.0166974126506313,1,0.38759957153255,-0.0931339305638386,0.055215156951331,0.261920599554324,-0.113550005788299,-0.158382150360874,0.0203836348187099,0.0160291321727218,-0.032144948438504,-0.00797391023979609
"reserve P 1",-0.113181489879107,-0.124859964075316,0.352105174371895,0.353408093611679,-0.0408457955361981,0.323389969380929,0.403619694631671,0.0767170622578583,-0.0136326285274142,0.214431568433904,0.108846880252242,-0.0946989656254297,0.0551307396032554,0.38759957153255,1,-0.132407655757708,0.0557041564391803,0.17884103816372,0.0371916763742705,0.125726264147767,0.0694983779945034,-0.133481049575852,-0.0899812360316281,0.0612006010289317
"fixed P 1",-0.00778254860644362,-0.0575090449882664,0.0309740940735925,0.0535033537553991,0.66707237799353,-0.328049769525766,0.177139856320018,0.0294365144415473,0.156483581333833,-0.102189274065093,-0.0398339604653993,0.0217609207391279,-0.0877026801932204,-0.0931339305638386,-0.132407655757708,1,-0.798694489704387,0.0685904483447704,-0.455034420537822,0.278162448190574,0.0944977461211431,0.0679542958467199,0.0921316318640364,-0.0233520896919583
"organic P 1",0.035888587166632,0.100134405214119,-0.0330502247716845,-0.061649204738208,-0.633932190061023,0.323604682009747,-0.15687070305292,0.0372213729557259,-0.0999368002353286,0.112791183711676,0.079913753565932,-0.0271582518102518,0.0589560594998315,0.055215156951331,0.0557041564391803,-0.798694489704387,1,0.463013574112306,0.421015050690282,-0.370583233821148,-0.0576383928451268,0.0201020574681684,-0.109196943786512,-0.013008741571676
"total P 1",0.0856281861498439,0.151857825594857,0.194177383277051,0.166080518967638,-0.0601018687284504,0.118372240537615,0.147882233928195,0.15436170555176,0.127362583747238,0.139932491268741,0.129546573945964,0.0379125121289559,0.0336737914813,0.261920599554324,0.17884103816372,0.0685904483447704,0.463013574112306,1,0.0462885632265966,-0.230829397278016,0.0987930696663099,0.124205862744044,0.0107499953414334,-0.0190045213105607
"calcium carbonate 1",0.0435810675621446,-0.0675659240029431,-0.106847321718004,-0.0553792579153209,-0.379553347159111,0.168028462222949,-0.14577336486046,-0.0629965034048462,-0.192470618790212,0.0447166953328708,0.0685032588823546,0.154410157844271,0.018133080967016,-0.113550005788299,0.0371916763742705,-0.455034420537822,0.421015050690282,0.0462885632265966,1,-0.0971076005812364,-0.108769613665577,-0.11770945628665,-0.0175965093322792,0.109816608154598
"ph 1",-0.0575119765896442,-0.34020615947135,0.0392539718127429,-0.0958205268761376,0.39807392485973,-0.206134988584386,0.0480452968729956,-0.248910099296151,-0.350688417944154,-0.23342374085896,-0.251245820464936,0.1841288086621,-0.110748973423922,-0.158382150360874,0.125726264147767,0.278162448190574,-0.370583233821148,-0.230829397278016,-0.0971076005812364,1,0.0156347410209177,-0.242418221104561,-0.0937978475219901,0.113446886720707
"ammonium 1",-0.0324447564122764,0.00682665794248972,0.120275450136233,0.14325857884519,0.0972404150043741,0.0125194544501499,0.115831824014988,-0.0229783077162478,0.05377043996765,0.0275433362214115,0.0332727025059861,0.134770602838398,0.00711649929000375,0.0203836348187099,0.0694983779945034,0.0944977461211431,-0.0576383928451268,0.0987930696663099,-0.108769613665577,0.0156347410209177,1,-0.147186969743816,-0.0420531141957797,0.167008196144463
"nitrate 1",-0.0126294932925537,0.157750765273667,0.0798870106742798,-0.0194631845484948,0.0306285235778956,-0.119130076469359,-0.110404836275701,0.0608345390045409,0.0952403673305679,0.0135060031309319,0.0717347693443166,-0.253917485080492,-0.223070442465483,0.0160291321727218,-0.133481049575852,0.0679542958467199,0.0201020574681684,0.124205862744044,-0.11770945628665,-0.242418221104561,-0.147186969743816,1,-0.0121062346873594,-0.168252244682695
"pmn 1",0.00273777140991168,0.0973764557356606,-0.0191549976567729,0.083813076647734,0.12426298625558,-0.171325850479116,-0.0577275726460802,0.0521663231896235,0.149992172320478,-0.00250895596935944,0.0255247766661671,0.113999278499903,0.0547291929142745,-0.032144948438504,-0.0899812360316281,0.0921316318640364,-0.109196943786512,0.0107499953414334,-0.0175965093322792,-0.0937978475219901,-0.0420531141957797,-0.0121062346873594,1,0.143170292510362
"pmc 1",0.0374474474881895,0.00961877349492851,0.0258321210696741,0.108702750341641,-0.0704023087898053,0.110162542119817,0.0747208914101757,0.0270859769505558,0.00769732775249881,0.031727778831416,-0.0131032581407824,0.100127453651794,0.0876867557368505,-0.00797391023979609,0.0612006010289317,-0.0233520896919583,-0.013008741571676,-0.0190045213105607,0.109816608154598,0.113446886720707,0.167008196144463,-0.168252244682695,0.143170292510362,1
