"","wheat biomass 2","cover crop biomass 2","available P 2","reserve P 2","fixed P 2","organic P 2","total P 2","ammonium 2","nitrate 2","pmn 2","pmc 2","wheat biomass 1","cover crop biomass 1","available P 1","reserve P 1","fixed P 1","organic P 1","total P 1","calcium carbonate 1","ph 1","ammonium 1","nitrate 1","pmn 1","pmc 1"
"wheat biomass 2",NA,0.0002262965315043,0.299876072766986,0.585549124150729,0.0780748091250758,0.622557749696136,0.333972086379706,0.249593727034191,0.861181241429829,0.0287881986030381,0.991448208724744,0.573195026059017,0.0819645086604615,0.00424204985090371,0.239336701883484,0.929264286627208,0.816967187417791,0.551767810090487,0.659707064033783,0.071008057465086,0.622000088612118,0.702620297267379,0.810106629557266,0.679340411806388
"cover crop biomass 2",0.0002262965315043,NA,0.626259011795723,0.498268433058166,0.830976584179252,0.570226374019579,0.718754548745037,0.058817369750549,0,0.0887031365704183,0.382094191181134,0.00140978233822331,1.4586944742101e-05,0.00349792997965359,0.0658039920242484,0.433664955516741,0.955638590053302,0.382635193722662,0.17034655285432,2.69625600157752e-06,0.0970019913459268,3.03737863580622e-05,0.188118836811331,0.909055544998267
"available P 2",0.299876072766986,0.626259011795723,NA,0,0.575611393183664,2.2945145117248e-08,0,0.00692993999963942,0.00210148460854054,0,3.41272759940559e-06,0.00329802694765435,0.139258813698993,3.10862446895044e-15,8.11580580517557e-10,0.510008163996004,0.383160057534704,0.000126868628109067,0.183432714409651,0.844624698297852,0.0736758633688099,0.169388941973438,0.186281034940424,0.248199617202028
"reserve P 2",0.585549124150729,0.498268433058166,0,NA,0.0677380725886592,0,0,0.000532428821301112,7.29360399187584e-07,1.68753899743024e-14,4.17141876596361e-11,0.095691878418837,0.000433231584937133,6.03961325396085e-14,2.96782500797121e-08,0.474197400998964,0.875287697698243,0.00456583461637883,0.49934682706857,0.00548813139665372,0.0206758264043376,0.430591108609738,0.710979314956917,0.157339870915057
"fixed P 2",0.0780748091250758,0.830976584179252,0.575611393183664,0.0677380725886592,NA,0,4.45566294970945e-09,0.00846687337615082,0.197261465217354,0.000240615724221183,1.0854471610422e-07,0.233218410336525,0.0384000832928648,0.48694522995081,0.09742181182014,0,0,0.388033711496514,4.63007410189675e-12,3.10862446895044e-15,0.0278685780746837,0.806431680855589,0.0156485640577344,0.11574001231918
"organic P 2",0.622557749696136,0.570226374019579,2.2945145117248e-08,0,0,NA,0,0.000101717356448816,0.499880658238137,9.18555802531529e-08,9.41502919626913e-06,0.432037855270897,0.000583491350914178,0.000523424881146761,1.73653402768537e-09,1.78009150086922e-07,1.1752154893685e-07,0.0116685249899029,0.0022296337022143,5.93195176918915e-05,0.849462697154181,0.0482367709249369,0.00246706020242016,0.127808169776492
"total P 2",0.333972086379706,0.718754548745037,0,0,4.45566294970945e-09,0,NA,0.0155797452366424,0.00782608236133142,1.99431854113197e-05,0.110441789432156,0.409493215022885,0.0244546784953816,4.13321754599849e-09,3.65146535230565e-09,0.000231186545409212,0.0174452987996698,0.0090268937779534,0.011697325373019,0.0972213945143388,0.0422344952339087,0.0591502553186876,0.257457377878471,0.833845045271517
"ammonium 2",0.249593727034191,0.058817369750549,0.00692993999963942,0.000532428821301112,0.00846687337615082,0.000101717356448816,0.0155797452366424,NA,8.97518059872482e-10,9.05194663918252e-05,4.44089209850063e-16,0.104960818345984,0.111315395780706,0.00931272284541462,0.332427236727845,0.121739862362694,0.432690907639851,0.390779318302112,0.0236960382426072,0.000225681648489573,0.541539592572743,0.0822629214757229,0.398977535457033,0.718707370419371
"nitrate 2",0.861181241429829,0,0.00210148460854054,7.29360399187584e-07,0.197261465217354,0.499880658238137,0.00782608236133142,8.97518059872482e-10,NA,0.000247630818783318,0.000488997141032232,0.205903458355073,0.000500492261432006,0.192576065759513,0.00578459835661338,2.15830780603277e-06,0.000355759281599921,0.812053564981272,0.000373666058096189,0.000382643835583174,0.0115567409457311,0.0264136395238395,0.000672931785705044,0.612384893046283
"pmn 2",0.0287881986030381,0.0887031365704183,0,1.68753899743024e-14,0.000240615724221183,9.18555802531529e-08,1.99431854113197e-05,9.05194663918252e-05,0.000247630818783318,NA,2.04476569010126e-09,0.973500215155816,0.0919954430726526,1.08700706340503e-05,7.01440525561203e-05,0.0660856211515197,0.132364858870424,0.239763945955437,0.264807553192988,5.40056453364191e-05,0.606648718669921,0.511146677748892,0.357495170536818,0.711941843378815
"pmc 2",0.991448208724744,0.382094191181134,3.41272759940559e-06,4.17141876596361e-11,1.0854471610422e-07,9.41502919626913e-06,0.110441789432156,4.44089209850063e-16,0.000488997141032232,2.04476569010126e-09,NA,0.588240052133524,0.12633499461263,0.263202249755953,0.419810240144017,0.451982985728382,0.0513923768076869,0.0937683607721675,0.245478612006196,3.39095102575016e-06,0.78095353986479,0.0791030049825601,0.878480489446615,0.617774493682147
"wheat biomass 1",0.573195026059017,0.00140978233822331,0.00329802694765435,0.095691878418837,0.233218410336525,0.432037855270897,0.409493215022885,0.104960818345984,0.205903458355073,0.973500215155816,0.588240052133524,NA,1.29966344353249e-08,0.60028426946978,0.216549769374813,0.792198637444184,0.540274376165567,0.354541089430596,0.0277332003342221,0.0122361379667018,2.9631863531776e-05,0.0403414514855549,0.930913088510682,0.378734133286628
"cover crop biomass 1",0.0819645086604615,1.4586944742101e-05,0.139258813698993,0.000433231584937133,0.0384000832928648,0.000583491350914178,0.0244546784953816,0.111315395780706,0.000500492261432006,0.0919954430726526,0.12633499461263,1.29966344353249e-08,NA,0.988031600387442,0.394619060897943,0.133800596692575,0.99492945817281,0.148221147075303,0.731149075365994,0.0112654912624328,0.362631864275819,2.31844245983659e-05,0.873378023173154,0.145534623793211
"available P 1",0.00424204985090371,0.00349792997965359,3.10862446895044e-15,6.03961325396085e-14,0.48694522995081,0.000523424881146761,4.13321754599849e-09,0.00931272284541462,0.192576065759513,1.08700706340503e-05,0.263202249755953,0.60028426946978,0.988031600387442,NA,0,0.242556992108892,0.00144983948926525,3.11195513802431e-12,0.00459692129160416,0.00663073150149107,0.70655326914784,0.107234458752655,0.0103666926125952,0.62811898314331
"reserve P 1",0.239336701883484,0.0658039920242484,8.11580580517557e-10,2.96782500797121e-08,0.09742181182014,1.73653402768537e-09,3.65146535230565e-09,0.332427236727845,0.00578459835661338,7.01440525561203e-05,0.419810240144017,0.216549769374813,0.394619060897943,0,NA,8.3652996973882e-08,0.000275244830247656,0.00149080103591359,0.0406273260999253,0.0371987870033847,0.712639164878849,0.00046958352045845,6.89752428346679e-05,0.215294768133819
"fixed P 1",0.929264286627208,0.433664955516741,0.510008163996004,0.474197400998964,0,1.78009150086922e-07,0.000231186545409212,0.121739862362694,2.15830780603277e-06,0.0660856211515197,0.451982985728382,0.792198637444184,0.133800596692575,0.242556992108892,8.3652996973882e-08,NA,0,0.00255005916888518,0,7.00496105565662e-10,0.000922688748238976,0.269490478998594,0.000818752831399205,0.178430016818304
"organic P 1",0.816967187417791,0.955638590053302,0.383160057534704,0.875287697698243,0,1.1752154893685e-07,0.0174452987996698,0.432690907639851,0.000355759281599921,0.132364858870424,0.0513923768076869,0.540274376165567,0.99492945817281,0.00144983948926525,0.000275244830247656,0,NA,0,0,5.32969224309454e-11,0.080413881531894,0.00816613436297686,0.00128396969143219,0.249599020410292
"total P 1",0.551767810090487,0.382635193722662,0.000126868628109067,0.00456583461637883,0.388033711496514,0.0116685249899029,0.0090268937779534,0.390779318302112,0.812053564981272,0.239763945955437,0.0937683607721675,0.354541089430596,0.148221147075303,3.11195513802431e-12,0.00149080103591359,0.00255005916888518,0,NA,0.590311184349337,0.0909060556307615,0.161148402781703,2.65782951989202e-05,0.138471344583714,0.00589766518597012
"calcium carbonate 1",0.659707064033783,0.17034655285432,0.183432714409651,0.49934682706857,4.63007410189675e-12,0.0022296337022143,0.011697325373019,0.0236960382426072,0.000373666058096189,0.264807553192988,0.245478612006196,0.0277332003342221,0.731149075365994,0.00459692129160416,0.0406273260999253,0,0,0.590311184349337,NA,0.0211997896575244,0.00644320839399914,0.0922198620352916,0.585374525637461,0.0781618433155273
"ph 1",0.071008057465086,2.69625600157752e-06,0.844624698297852,0.00548813139665372,3.10862446895044e-15,5.93195176918915e-05,0.0972213945143388,0.000225681648489573,0.000382643835583174,5.40056453364191e-05,3.39095102575016e-06,0.0122361379667018,0.0112654912624328,0.00663073150149107,0.0371987870033847,7.00496105565662e-10,5.32969224309454e-11,0.0909060556307615,0.0211997896575244,NA,0.368890913246278,0.071971194533482,0.421287028991495,0.85410929313763
"ammonium 1",0.622000088612118,0.0970019913459268,0.0736758633688099,0.0206758264043376,0.0278685780746837,0.849462697154181,0.0422344952339087,0.541539592572743,0.0115567409457311,0.606648718669921,0.78095353986479,2.9631863531776e-05,0.362631864275819,0.70655326914784,0.712639164878849,0.000922688748238976,0.080413881531894,0.161148402781703,0.00644320839399914,0.368890913246278,NA,0.0649891697326657,0.0804584161104938,0.031552233872632
"nitrate 1",0.702620297267379,3.03737863580622e-05,0.169388941973438,0.430591108609738,0.806431680855589,0.0482367709249369,0.0591502553186876,0.0822629214757229,0.0264136395238395,0.511146677748892,0.0791030049825601,0.0403414514855549,2.31844245983659e-05,0.107234458752655,0.00046958352045845,0.269490478998594,0.00816613436297686,2.65782951989202e-05,0.0922198620352916,0.071971194533482,0.0649891697326657,NA,0.0260467673756852,0.00508057517445537
"pmn 1",0.810106629557266,0.188118836811331,0.186281034940424,0.710979314956917,0.0156485640577344,0.00246706020242016,0.257457377878471,0.398977535457033,0.000672931785705044,0.357495170536818,0.878480489446615,0.930913088510682,0.873378023173154,0.0103666926125952,6.89752428346679e-05,0.000818752831399205,0.00128396969143219,0.138471344583714,0.585374525637461,0.421287028991495,0.0804584161104938,0.0260467673756852,NA,0.00483529625099477
"pmc 1",0.679340411806388,0.909055544998267,0.248199617202028,0.157339870915057,0.11574001231918,0.127808169776492,0.833845045271517,0.718707370419371,0.612384893046283,0.711941843378815,0.617774493682147,0.378734133286628,0.145534623793211,0.62811898314331,0.215294768133819,0.178430016818304,0.249599020410292,0.00589766518597012,0.0781618433155273,0.85410929313763,0.031552233872632,0.00508057517445537,0.00483529625099477,NA
