"","cbio","available_p_cumsum","reserve_p_cumsum","fixed_p_cumsum","organic_p_cumsum","total_p_cumsum","bg_cumsum","phos_cumsum","nag_cumsum","ag_cumsum","lap_cumsum","abts_cumsum"
"cbio",NA,0.0418923037993,0.271002904049727,0.00111045866791315,0.0418610092849194,0.93211236874316,2.53130849614536e-14,1.21058718605127e-12,4.0689690727902e-08,1.64597224738827e-11,0,0.339175563661567
"available_p_cumsum",0.0418923037993,NA,4.44089209850063e-16,1.19491548797868e-05,0,1.21871401859153e-11,0.0978125480358756,0.0062077764600299,0.0138729492947287,0.480921380189177,0.0100980763681313,2.22044604925031e-16
"reserve_p_cumsum",0.271002904049727,4.44089209850063e-16,NA,0.327284915377609,2.88657986402541e-14,0,0.0994217708037315,0.0420229106819419,0.529444256556528,0.664462798872721,0.0960336540511231,1.16095397739713e-08
"fixed_p_cumsum",0.00111045866791315,1.19491548797868e-05,0.327284915377609,NA,0.0304813372773345,0.000483988707147276,0.697815756061636,0.00287979612658473,0.0594322734065704,0.263961941538012,0.257142598116176,0.000624601341807196
"organic_p_cumsum",0.0418610092849194,0,2.88657986402541e-14,0.0304813372773345,NA,0,0.00294649092266663,7.67278852156217e-05,0.00050276117167547,0.0279480433985619,4.81935648348752e-05,2.08779657406843e-05
"total_p_cumsum",0.93211236874316,1.21871401859153e-11,0,0.000483988707147276,0,NA,0.0234363933086028,0.0990123905023088,0.130091006922443,0.413959522521808,0.00922136073392488,0.000143656886318899
"bg_cumsum",2.53130849614536e-14,0.0978125480358756,0.0994217708037315,0.697815756061636,0.00294649092266663,0.0234363933086028,NA,0,0,0,0,0.0396548426231607
"phos_cumsum",1.21058718605127e-12,0.0062077764600299,0.0420229106819419,0.00287979612658473,7.67278852156217e-05,0.0990123905023088,0,NA,0,0,0,0.190232692473761
"nag_cumsum",4.0689690727902e-08,0.0138729492947287,0.529444256556528,0.0594322734065704,0.00050276117167547,0.130091006922443,0,0,NA,0,0,0.424146198337735
"ag_cumsum",1.64597224738827e-11,0.480921380189177,0.664462798872721,0.263961941538012,0.0279480433985619,0.413959522521808,0,0,0,NA,0,0.0135548305501643
"lap_cumsum",0,0.0100980763681313,0.0960336540511231,0.257142598116176,4.81935648348752e-05,0.00922136073392488,0,0,0,0,NA,0.246160395816169
"abts_cumsum",0.339175563661567,2.22044604925031e-16,1.16095397739713e-08,0.000624601341807196,2.08779657406843e-05,0.000143656886318899,0.0396548426231607,0.190232692473761,0.424146198337735,0.0135548305501643,0.246160395816169,NA
