"","ftrt","phos_pool","ctrt","label"
"1","Compost","porg","Radish Oat","a"
"2","Compost","porg","Oat","a"
"3","Compost","porg","All Mixture","a"
"4","Compost","porg","Buckwheat Oat","ab"
"5","Compost","porg","Buckwheat","ab"
"6","Compost","porg","Faba Bean","ab"
"7","Compost","porg","Faba Bean Oat","ab"
"8","Compost","porg","Fallow","ab"
"9","Compost","porg","Radish","b"
"10","Control","porg","Fallow","a"
"11","Control","porg","Faba Bean","a"
"12","Control","porg","All Mixture","a"
"13","Control","porg","Buckwheat Oat","a"
"14","Control","porg","Oat","a"
"15","Control","porg","Radish Oat","a"
"16","Control","porg","Buckwheat","a"
"17","Control","porg","Radish","a"
"18","Control","porg","Faba Bean Oat","a"
"19","Inorganic Fertilizer","porg","Faba Bean","a"
"20","Inorganic Fertilizer","porg","Fallow","a"
"21","Inorganic Fertilizer","porg","Buckwheat","ab"
"22","Inorganic Fertilizer","porg","All Mixture","ab"
"23","Inorganic Fertilizer","porg","Buckwheat Oat","abc"
"24","Inorganic Fertilizer","porg","Radish Oat","abc"
"25","Inorganic Fertilizer","porg","Faba Bean Oat","abc"
"26","Inorganic Fertilizer","porg","Oat","bc"
"27","Inorganic Fertilizer","porg","Radish","c"
