ftrt,ctrt,time,wbio,cbio,pbic,amac,edta,unavp,porg,ptot,caco3,inorgcarbon,sph2,amm,nit,pmn,pmc,rate2,seed2
CMPT,ALL ,1,4.82,27.95,26.90526462,66.71240608,102.577821,8.9601503,229.572179,332.15,5.151639433,0.618196732,7.69,4.361464968,5.116391861,9.297559748,158.9457969,1,7
CMPT,ALL ,1,2.85,26.57,20.62066738,60.10114085,104.5719844,23.85017617,281.6280156,386.2,5.281153539,0.633738425,7.99,1.926738883,15.80613986,11.09633943,57.31887689,1,7
CMPT,ALL ,1,5.08,52.73,18.6690683,69.02236194,114.688716,26.99728576,318.011284,432.7,5.399874803,0.647984976,8.02,2.721195652,15.42550313,27.24319108,89.40094949,3,3
CMPT,ALL ,1,1.07,25.37,35.0494364,72.55350466,133.6575875,26.05464644,332.6924125,466.35,5.58335312,0.670002374,7.62,2.488573021,16.18103543,14.64430021,263.5379587,1,7
CMPT,ALL ,2,5.48,26.22,30.65123457,65.32024793,138.2282996,42.2568171,209.8467004,348.075,,,,3.695083682,33.92138618,24.25452776,149.7815863,,
CMPT,ALL ,2,2.7,17.98,26.86111111,55.1584022,120.2140309,38.19451759,221.8609691,342.075,,,,3.38963964,29.10255093,28.51250845,153.2221687,,
CMPT,ALL ,2,1.01,38.46,35.10180207,61.74742291,137.4851367,40.63591172,265.7898633,403.275,,,,4.556803995,16.0292688,38.4375,176.2648247,,
CMPT,ALL ,2,2.3,39.36,22.2832039,55.21444282,126.8521906,49.35454388,181.5228094,308.375,,,,4.080490405,23.70551221,14.30412612,132.9885227,,
CMPT,B,1,2.93,5.65,11.55761636,63.05374988,160.5058366,85.89447036,262.0441634,422.55,5.259567855,0.631148143,8,2.725941423,28.50710502,19.81874297,153.0467965,4,6
CMPT,B,1,4.06,29.09,.,.,.,.,.,.,5.917931228,0.710151747,8.2,5.00110011,11.77018916,11.70150343,256.646961,4,6
CMPT,B,1,3.38,9.01,45.05966135,75.75115056,159.4357977,38.62498579,586.9642023,746.4,4.881818378,0.585818205,8.07,3.426666667,85.8543379,5.972621503,38.3536059,4,6
CMPT,B,1,2.75,37.4,32.82039755,86.36910054,140.0291829,20.83968481,370.5708171,510.6,5.43225333,0.6518704,8.25,3.835587929,7.82739344,7.823949741,131.3897677,4,6
CMPT,B,2,2.67,22.4,28.62094285,52.49641762,125.4230312,44.30567073,202.2519688,327.675,,,,2.003367003,12.57548592,8.795578942,100.2566444,,
CMPT,B,2,2.35,21.15,29.81568598,51.66677775,134.1854935,52.70302977,196.6895065,330.875,,,,5.429411765,14.52964761,24.32435011,151.9179266,,
CMPT,B,2,1.78,27.99,34.18209877,55.2892562,160.5803531,71.10899813,212.1946469,372.775,,,,2.385516507,12.57566679,9.169447462,139.4635379,,
CMPT,B,2,2.53,20.04,27.46852342,52.68458393,146.9084423,66.75533495,188.6165577,335.525,,,,2.9084014,16.28603128,13.97408737,158.8115032,,
CMPT,BO,1,2.71,32.08,30.94705424,75.86030539,193.6284047,86.82104507,238.5715953,432.2,4.871025536,0.584523064,8.12,7.151902497,5.183355503,8.719477958,228.6946468,2,10
CMPT,BO,1,0.84,12.71,31.36845481,81.92574595,286.1381323,172.8439315,191.5618677,477.7,1.244630561,0.149355667,8.01,2.560247748,25.90529599,6.987556524,113.390452,4,6
CMPT,BO,1,1.2,40.55,52.74371043,78.61039529,239.1536965,107.7995908,224.7963035,463.95,.,.,8.14,2.295352744,9.416092038,7.087280229,151.7720247,2,4
CMPT,BO,1,3.67,31.84,27.74371043,70.87621187,251.2159533,152.596031,127.3840467,378.6,5.173225117,0.620787014,8.13,3.298418972,10.55365407,4.07024502,135.3033956,2,10
CMPT,BO,2,3.23,17.84,23.31790123,49.97933884,138.9714625,65.67422243,206.6035375,345.575,,,,3.212041885,15.16572446,13.85021011,86.71781611,,
CMPT,BO,2,0.71,26.39,24.09428277,55.45170318,155.7783774,76.23239145,208.5466226,364.325,,,,3.189953811,21.00046714,6.652352174,157.894776,,
CMPT,BO,2,2.52,20.16,35.13913779,62.20563405,176.5631193,79.21834746,193.7618807,370.325,,,,1.786876356,44.02115199,31.84414766,71.81795756,,
CMPT,BO,2,3.25,9.64,30.41975309,57.52754821,170.8085612,82.8612599,220.6164388,391.425,,,,3.1495228,28.93071269,19.03770953,145.2437615,,
CMPT,F,1,5.57,42.1,25.04432393,64.03952722,194.6984436,105.6145925,223.9515564,418.65,0.780538347,0.093664602,8,9.111784141,23.33439568,11.36667668,36.80792463,2,5
CMPT,F,1,3.01,20.01,18.41439121,69.8612162,201.7023346,113.4267272,204.1476654,405.85,5.119260906,0.614311309,8,2.529814004,34.56409758,13.18209248,86.81080752,2,7
CMPT,F,1,3.38,43.95,26.67144318,69.79310003,259.7276265,163.2630833,110.9723735,370.7,1.007188033,0.120862564,8.23,2.963547334,62.391144,6.986560702,141.8914861,2,5
CMPT,F,1,6.31,27.31,28.54636892,80.18960078,257.2957198,148.5597501,179.4542802,436.75,5.000539642,0.600064757,8.18,5.184243176,50.1760922,5.578403119,221.9232074,2,7
CMPT,F,2,1.36,21,42.05553106,58.88839696,183.4373761,82.49344808,171.0876239,354.525,,,,3.279958678,51.37311726,25.75413876,149.6062452,,
CMPT,F,2,2.81,107,28.27777778,55.85399449,181.0939358,96.96216353,212.2310642,393.325,,,,5.078718784,59.51087,29.17333174,89.17894237,,
CMPT,F,2,2.06,65.78,30.79683519,54.2287048,176.4565993,91.43105931,180.9184007,357.375,,,,2.977620087,37.7517423,20.76306668,150.8322093,,
CMPT,F,2,3.13,69.98,35.0712816,57.36477327,160.2135355,67.77748063,219.6114645,379.825,,,,3.505639098,58.56269614,21.75161945,133.730802,,
CMPT,FLW,1,1.9,0,18.11180859,75.07623087,360.3599222,267.1718827,-97.10992218,263.25,5.378289119,0.645394694,8.35,2.281350482,26.03769285,3.660463032,19.83410277,3,6
CMPT,FLW,1,1.88,0,17.92264703,77.44453138,146.5466926,51.17951419,189.3533074,335.9,6.435987653,0.772318518,8.17,2.981515152,85.66880266,4.275651249,63.01452408,4,5
CMPT,FLW,1,1.51,0,16.58317873,87.01851214,160.4571984,56.85550753,93.34280156,253.8,5.443046172,0.653165541,8.13,2.499693627,41.14728274,10.02866507,26.51970811,2,6
CMPT,FLW,1,0.28,0,20.31528507,89.964,338.1809339,227.9016488,72.96906615,411.15,5.281153539,0.633738425,7.95,2.489547038,37.10430547,5.983081784,21.36440239,2,6
CMPT,FLW,2,2.45,0,30.69885362,51.0106476,189.4768133,107.7673121,190.9981867,380.475,,,,1.828960646,9.832390627,17.49895337,46.48845836,,
CMPT,FLW,2,2.1,0,28.12683715,50.68952512,193.165188,114.3488257,166.609812,359.775,,,,2.590767635,3.698817752,2.662882427,58.70746289,,
CMPT,FLW,2,1.51,0,28.28181004,55.36717986,186.5338882,102.8848983,187.3911118,373.925,,,,1.350515464,3.711200088,17.27084163,94.51124419,,
CMPT,FLW,2,1.71,0,32.21296296,55.91597796,241.5898732,153.4609323,124.0351268,365.625,,,,5.514256619,24.91102149,16.15955659,99.54854122,,
CMPT,FO,1,1.37,11.27,43.46456933,83.31368122,232.3929961,105.6147456,183.6070039,416,1.805858355,0.216703003,8.09,1.621452894,40.29792159,13.36905763,95.62500669,2,8
CMPT,FO,1,1.08,34.2,42.5972068,84.1558829,290.6128405,163.8597508,147.4371595,438.05,0.802124031,0.096254884,8.13,3.020642202,14.94973556,7.4391052,96.47962305,1,10
CMPT,FO,1,2.22,15.77,37.5289865,82.78400981,270.0875486,149.7745523,104.2624514,374.35,1.115116455,0.133813975,8.13,2.309217302,13.11181711,19.41169592,120.2946669,2,8
CMPT,FO,1,3.81,49.59,31.96150184,78.70357822,302.4319066,191.7668265,145.9180934,448.35,3.381613314,0.405793598,8.08,2.466,25.706859,19.20309318,87.19031104,4,4
CMPT,FO,2,2.37,58.89,28.79127474,52.5171903,180.7966706,99.48820556,183.6783294,364.475,,,,6.23015873,57.72855586,34.76216741,70.57796135,,
CMPT,FO,2,6.01,44.31,34.90890084,59.4494246,177.4673008,83.10897536,206.4076992,383.875,,,,4.92287234,53.06669777,15.43159902,112.6072437,,
CMPT,FO,2,2.66,46.69,29.89506173,52.46556474,157.5505351,75.18990863,184.8244649,342.375,,,,5.723837209,45.96772271,32.27961172,125.9638869,,
CMPT,FO,2,0.45,8.75,28.91068979,51.69388692,186.2663496,105.6617729,158.0586504,344.325,,,,5.645240432,10.51492324,22.16723468,72.11107415,,
CMPT,O,1,1.58,18.15,16.70076564,73.91855289,209.5330739,118.9137554,168.0669261,377.6,1.395730352,0.167487642,8.28,.,.,.,.,4,8
CMPT,O,1,2.56,12.1,22.17111329,63.79430897,467.8015564,381.8361341,249.5984436,717.4,1.201459192,0.144175103,8.28,2.751838235,9.084404769,6.012058424,101.5169543,3,6
CMPT,O,1,3.06,20.47,29.56375133,78.27199411,158.463035,50.62728956,136.486965,294.95,1.417316036,0.170077924,8.14,2.870986239,9.151359466,10.86472606,106.1203142,1,10
CMPT,O,1,1.6,23.24,16.28154274,75.59421089,209.9708171,118.0950635,74.77918288,284.75,5.453839014,0.654460682,8.43,1.317477876,25.88381996,33.79942224,145.9671602,1,5
CMPT,O,2,0.15,0,28.0074221,50.14976606,168.4693131,90.31212494,214.0056869,382.475,,,,NA,8.138510539,17.93938446,28.01449553,,
CMPT,O,2,0.81,1.12,26.37962963,56.10881543,162.3525107,79.86406564,215.9224893,378.275,,,,2.253959276,5.568438533,9.083128751,177.3693416,,
CMPT,O,2,2.12,4.63,33.97511268,56.49705934,179.9643282,89.49215618,189.4606718,369.425,,,,3.465447154,8.011707122,19.26520631,155.7185987,,
CMPT,O,2,1.63,0,35.86419753,56.94214876,285.203055,192.3967087,271.621945,556.825,,,,3.520524515,7.781213022,26.43396619,54.92935843,,
CMPT,R,1,2.74,19.79,27.7973778,70.84958036,188.0350195,89.38806134,198.3649805,386.4,5.076089537,0.609130744,8.16,3.583864796,3.5441502,16.61012166,91.47948284,2,6
CMPT,R,1,3.28,32.04,30.47888425,65.78548112,305.3015564,209.037191,80.94844358,386.25,0.866881084,0.10402573,8.16,2.613256785,4.674482093,12.22359854,145.7360525,1,10
CMPT,R,1,3.16,33,21.62407853,61.50887494,330.7879377,247.6549842,59.76206226,390.55,1.050359402,0.126043128,8.2,1.436186975,14.92713948,15.91371257,160.5935686,1,6
CMPT,R,1,3.43,7.53,21.52694151,60.15036587,316.6342412,234.9569338,100.6157588,417.25,0.758952663,0.09107432,8.26,5.451638478,14.80401365,11.60666889,58.54010403,2,4
CMPT,R,2,2.97,17.78,30.48772899,54.94715298,205.1701271,119.7352451,178.9048729,384.075,,,,1.907894737,12.67031719,6.918122149,62.74205698,,
CMPT,R,2,4.98,21.2,26.4537037,49.55922865,167.4403183,91.42738595,183.9846817,351.425,,,,3.114495798,17.50356143,5.25834024,85.48842713,,
CMPT,R,2,3.96,23.19,25.62962963,52.49311295,176.6944114,98.57166882,146.0305886,322.725,,,,3.078212291,16.81948355,17.11879211,84.74563329,,
CMPT,R,2,2.39,22.23,31.2811131,52.20135742,254.5778835,171.095413,109.0971165,363.675,,,,1.801778243,25.09778606,16.80130707,37.11310033,,
CMPT,RO,1,2.85,31.41,13.1091846,60.78716808,119.2120623,45.31570962,235.9379377,355.15,4.795475641,0.575457077,8.08,2.635617214,16.1460514,16.43997949,94.39148017,4,3
CMPT,RO,1,5.32,32.64,16.60362863,72.2690515,161.2354086,72.36272847,241.0645914,402.3,1.795065513,0.215407862,8.06,1.992647059,15.34477315,10.05194272,106.0648611,1,6
CMPT,RO,1,2.18,31.81,34.39503967,72.11211182,144.9416342,38.43448271,212.0083658,356.95,2.852764047,0.342331686,8,2.933001107,3.853270973,6.563257507,180.2287103,4,7
CMPT,RO,1,1.68,31.86,.,101.0969083,137.1595331,.,305.5904669,442.75,.,.,8.12,2.1121875,31.57064065,8.663288485,116.8559177,2,7
CMPT,RO,2,0.9,19.44,22.94902429,50.92392029,136.1846017,62.31165712,239.5903983,375.775,,,,1.306710775,30.10713532,10.67655318,67.1078944,,
CMPT,RO,2,4.68,21.21,23.60551075,52.87478895,123.9595719,47.4792722,210.5654281,334.525,,,,2.414400806,11.57292386,15.23637866,171.595212,,
CMPT,RO,2,1.8,10.1,22.76234568,47.66960733,127.5267539,57.09480089,218.7982461,346.325,,,,2.833333333,15.00190502,13.31791934,70.02202323,,
CMPT,RO,2,1.85,21.21,26.66704002,52.56931485,135.8749505,56.63859563,222.8500495,358.725,,,,2.853139013,24.92698676,30.93527271,42.4328169,,
CNTL ,ALL ,1,1.91,34.71,13.2498454,62.74967925,122.9085603,46.90903565,211.7414397,334.65,4.288212058,0.514585447,7.83,2.025336091,18.64547055,9.326767463,59.47729311,2,5
CNTL ,ALL ,1,1.34,17.87,16.56314799,61.09855633,143.385214,65.72350968,264.714786,408.1,3.488462452,0.418615494,7.97,2.393118149,9.577523448,14.78332209,78.1644063,2,7
CNTL ,ALL ,1,4.39,25.7,8.148867141,63.88158878,116.9747082,44.94425228,309.9252918,426.9,5.227189328,0.627262719,8.1,2.518852459,15.01454555,9.319911087,98.12119785,2,5
CNTL ,ALL ,1,1.3,11.22,12.77949775,56.71240608,115.2237354,45.73183157,236.5762646,351.8,4.655168692,0.558620243,8.01,1.458525346,67.92594953,5.545916085,172.0128444,2,5
CNTL ,ALL ,2,3.08,31.55,22.79657009,49.73326557,118.2772341,45.74739844,227.2477659,345.525,,,,7.917093142,35.59968853,22.32662624,330.0158399,,
CNTL ,ALL ,2,3.12,32.83,21.92851454,49.11884609,119.7978597,48.75049907,210.0771403,329.875,,,,3.531510107,33.21112768,9.614307722,129.3352841,,
CNTL ,ALL ,2,1.72,40.15,22.34854142,49.77839243,127.6382283,55.51129445,182.3867717,310.025,,,,0.849537037,21.73066255,8.292980705,84.10122757,,
CNTL ,ALL ,2,2.53,50.36,21.16002091,49.29935351,124.5417162,54.08234178,162.2832838,286.825,,,,1.654135338,22.47904888,15.55343486,58.47493109,,
CNTL ,B,1,1.06,15.57,9.118966053,57.26659931,173.3463035,106.9607381,248.1536965,421.5,5.108468064,0.613016168,8.07,2.717227378,16.73699637,10.53267618,100.1712178,2,7
CNTL ,B,1,2.64,24.08,8.311167916,67.14629993,192.7042802,117.2468124,165.4957198,358.2,5.043711011,0.605245321,8.26,1.92027027,5.526076909,6.434012898,177.9286474,3,8
CNTL ,B,1,1.27,25.18,11.94771967,61.04017103,189.9319066,116.9440159,250.7180934,440.65,3.532713105,0.423925573,7.74,5.553191489,24.60842471,7.064420745,83.38356514,1,10
CNTL ,B,1,3.7,14.25,9.778475256,63.88749191,189.9319066,116.2659394,165.2680934,355.2,4.536447428,0.544373691,8.24,1.371614301,5.755560346,8.02414475,12.57337225,4,5
