time,ctrt,ftrt,pbic,amac,unavp,porg,bg,phos,nag,ag,lap,abts
T1,All,Control,31.04502238,98.4065179,-9.33435278,209.4328125,163.3132231,103.9568926,32.72731278,20.27094363,266.5949193,-1.302231619
T1,All,Control,46.59301335,99.60604672,-19.97835697,218.2292969,226.5225621,84.27552884,21.89978684,29.68962273,223.9270269,-2.304031444
T1,All,Control,33.13847076,96.03429095,15.32797069,210.5492676,94.69689015,63.97040411,17.54482559,3.97543599,126.6188063,-1.60978484
T1,Faba Oat,Control,23.26291683,91.48979488,12.93283519,228.8144531,206.9176582,153.9711461,17.50201847,13.91270998,430.222748,-1.274526014
T1,Faba Oat,Control,29.13509725,94.8864392,2.73627605,194.4921875,105.5455031,70.07170003,20.84574106,3.60457442,177.3783619,-1.626581134
T1,Faba Oat,Control,23.1167282,87.38891434,22.55099806,187.4933594,120.4488993,74.20901322,9.774868301,7.633394075,196.4121825,-1.457219992
T1,Radish,Control,44.12007219,101.8870155,23.47533421,176.6675781,298.7632332,181.7546627,49.63506789,46.45682686,681.4164272,0.192947867
T1,Radish,Control,26.3002484,91.28680739,0.25774591,192.3551983,200.0679776,120.2554295,48.13567244,34.85224736,262.0222581,-0.187757961
T1,Radish,Control,26.09458457,89.81610096,5.91548637,188.8738281,136.0987637,55.55104105,25.37761545,18.26054396,132.2235539,-1.253976492
T1,Faba,Control,52.95768248,97.55993281,-19.90238089,205.0347656,153.2693694,116.9028365,30.92967798,28.05236759,202.6526549,-1.921457228
T1,Faba,Control,61.79870888,99.78198538,-28.23108486,231.7003906,653.7258412,373.4629913,246.0754621,170.4629875,622.0429157,-4.778567012
T1,Faba,Control,40.77124554,99.88499395,2.16602611,168.3777344,284.1918714,190.6619028,55.22277375,51.04334046,298.8131559,-1.917263317
T1,Oat,Control,24.84075141,81.87818569,16.1326254,198.2484375,53.95849529,48.65572535,1.904765834,-1.466270102,101.1827315,-0.328837547
T1,Oat,Control,23.4973019,88.03023362,22.01738638,173.6050781,83.55588467,66.26123831,7.923447417,2.714435348,141.2781846,-0.513747549
T1,Oat,Control,24.8266636,89.13120142,33.64955688,166.3425781,58.87388867,54.65878758,1.364939554,-1.312595249,87.87185369,-0.828429483
T1,Fallow,Control,24.90883272,77.32478241,24.32888487,179.5375,59.45713458,53.72360267,2.034000414,-2.457687081,86.66857511,-4.796848566
T1,Fallow,Control,23.91095603,87.11344516,27.79395821,166.2816406,97.10334241,74.88730225,6.612096532,12.01156524,127.7804427,-1.394847678
T1,Fallow,Control,23.70245646,80.79205113,55.98100321,152.9744892,64.38325719,78.21084264,2.225190031,-0.603928272,122.0175285,-1.651744555
T2,All,Control,34.05981345,90.05373412,-1.01784447,186.1042969,202.1173939,119.9169164,15.83892586,25.16090082,322.5890985,-1.470601693
T2,All,Control,29.47003692,.,.,207.0314453,142.5675526,85.01210313,10.82228508,13.41216882,241.113506,-1.127086066
T2,All,Control,27.82561772,100.123683,-4.85359762,208.5042969,164.8815794,48.73195288,21.71078176,26.5818916,237.9777207,-5.506215838
T2,Faba Oat,Control,32.88383982,107.4851122,-19.77365582,173.2547038,92.74015827,62.62095506,7.698123561,3.477193832,169.4194715,-2.781042242
