time,ftrt,pbic,amac,edta,pfix,ptot,porg
T1,Compost,33.15526472,61.28337237,90.24608866,-4.192548436,354.55,264.3039113
T1,Compost,28.21213752,60.99680309,34.83539765,-54.37354296,332.05,297.2146023
T1,Compost,29.24092802,64.83372365,93.50554107,-0.5691106,377.65,284.1444589
T1,Control,12.57822725,39.31615925,83.05084746,31.15646096,306.1,223.0491525
T1,Control,10.80233799,49.64034794,136.2288136,75.78612763,305.1,168.8711864
T1,Control,10.36561759,43.17683357,248.1258149,194.5833637,313.45,65.32418514
T2,Compost,35.90785908,48.65060778,562.8666884,478.3082215,397.75,-165.1166884
T2,Compost,26.77217862,50.06326962,944.9152542,868.079806,410.5,-534.4152542
T2,Compost,35.96529524,45.50691244,725,643.5277923,378.4,-346.6
T2,Control,12.45330161,51.23653396,82.09745763,18.40762206,299.6,217.5025424
T2,Control,14.33478536,47.29168241,62.45586158,0.82939381,296.65,234.1941384
T2,Control,17.20560324,51.33173488,73.30508475,4.767746625,301.4,228.0949153
T3,Compost,30.91255205,79.6440281,170.9745763,60.41799612,434.6,263.6254237
T3,Compost,101.0547197,100.886719,492.1610169,290.2195782,575.75,83.58898305
T3,Compost,55.21356336,93.31147541,287.7118644,139.1868256,472.2,184.4881356
T3,Control,2.923665996,47.12185421,171.6101695,121.5646493,326.75,155.1398305
T3,Control,7.332181336,50.3884614,136.0169492,78.29630642,311.6,175.5830508
T3,Control,10.42474717,44.72131148,152.7542373,97.60817863,311.95,159.1957627
Baseline,Compost,20.62544376,57.61785148,210.4383963,132.1951011,356.05,145.6116037
Baseline,Control,9.801193606,53.52893405,142.7877825,79.45765483,299.8,157.0122175
