,time,ctrt,ftrt,cbio,swet,pbic,amac,edta,unavp,porg,ptot,bg,phos,nag,ag,lap,abts
1,T1,All,Compost,20.9,0.132879046,32.63675092,82.71186441,116.7179988,1.36938347,234.6820012,351.4,337.8127928,183.7128324,81.86957928,62.64550925,341.7798842,-2.747801956
2,T1,All,Compost,20.9,0.141111111,65.70974155,136.3857077,127.2817758,-74.81367345,260.2682242,387.55,164.8085111,157.3580279,69.96492624,19.39556017,318.5682911,-3.197006254
3,T1,All,Compost,20.9,0.165333333,30.89012011,76.70387378,124.1830679,16.58907401,240.5169321,364.7,247.9912293,153.5662696,52.62814447,28.93964192,309.2136452,-3.49591606
4,T1,Faba Oat,Compost,26.41,0.29245283,40.88676557,105.1141941,147.7050781,1.70411843,210.3449219,358.05,302.2485347,171.5465582,34.02891125,43.96571629,355.3096452,-2.311582972
5,T1,Faba Oat,Compost,26.41,0.237258348,48.4333996,122.7989006,151.5136719,-19.7186283,233.3363281,384.85,98.51352454,65.37289458,5.439685712,5.228160176,152.0378637,-1.273010958
6,T1,Faba Oat,Compost,26.41,0.596858639,52.54876272,134.5394397,150.4394531,-36.64874932,214.8105469,365.25,355.6361179,132.7384807,31.49880872,27.32723224,319.9315318,-6.055107713
7,T1,Radish,Compost,34.22,0.205607477,74.44873615,119.3311956,143.5546875,-50.22524425,219.7953125,363.35,146.3135391,87.58921563,14.34676447,13.34745108,228.3233661,-2.988469315
8,T1,Radish,Compost,34.22,0.30787037,63.96591877,99.34035731,128.90625,-34.40002608,227.94375,356.85,184.973439,113.1023954,69.08240572,7.769173537,383.9435545,-2.348097295
9,T1,Radish,Compost,34.22,0.304812834,79.21821452,113.7562987,132.3993389,-60.57517432,311.4506611,443.85,129.4196461,100.1776462,10.67187195,2.687328083,176.5551703,0.78737838
10,T1,Faba,Compost,53.16,0.179921773,37.78463009,101.0468701,162.6821665,23.85066631,202.8678335,365.55,219.1804983,131.2216576,68.44736385,44.12876262,501.9979302,-1.902155636
11,T1,Faba,Compost,53.16,0.219827586,28.6861687,100.6779661,182.2916667,52.9275319,297.2083333,479.5,667.9338112,264.2716952,154.4380932,120.000092,719.6776877,-0.190046596
12,T1,Faba,Compost,53.16,0.525469169,58.72024993,113.4264773,179.494222,7.34749477,184.455778,363.95,289.0358932,107.8703618,31.75513251,17.17677884,411.3507227,0.875788351
