ftrt,ctrt,time,PBIC,AMAC,EDTA,PFIX,PTOT,PORG
CMPT,ALL ,1,26.90526462,69.52921739,105.5555556,9.121073543,332.15,226.5944444
CMPT,ALL ,1,20.78563272,56.99595506,112.9032258,35.12163802,386.2,273.2967742
CMPT,ALL ,1,18.6690683,74.07994203,150.1792115,57.43020114,432.7,282.5207885
CMPT,ALL ,1,35.0494364,81.03646377,220.0716846,103.9857844,466.35,246.2783154
CMPT,ALL ,2,26.51227679,57.71677783,141.8103448,57.58129021,348.075,206.2646552
CMPT,ALL ,2,19.65959821,42.57567984,98.27586207,36.04058402,342.075,243.7991379
CMPT,ALL ,2,34.32594686,52.07385094,132.0043103,45.60451254,403.275,271.2706897
CMPT,ALL ,2,11.14946357,42.33974412,121.7119805,68.22277286,308.375,186.6630195
CNTL ,ALL ,1,13.2498454,61.72245411,180.4659498,105.4936503,334.65,154.1840502
CNTL ,ALL ,1,16.69565317,58.96091174,255.9139785,180.2574136,408.1,152.1860215
CNTL ,ALL ,1,8.214058078,64.44362012,158.6021505,85.94447234,426.9,268.2978495
CNTL ,ALL ,1,12.77949775,49.8287343,152.1505376,89.54230558,351.8,199.6494624
CNTL ,ALL ,2,12.07764797,34.17281815,100.9891689,54.73870275,345.525,244.5358311
CNTL ,ALL ,2,10.50817252,33.25733627,97.27011494,53.50460615,329.875,232.6048851
CNTL ,ALL ,2,11.26759613,34.24005694,108.2076149,62.69996188,310.025,201.8173851
CNTL ,ALL ,2,9.118708597,33.5262914,100.7243774,58.0793774,286.825,186.1006226
IFERT ,ALL ,1,18.94514192,58.05095652,242.8315412,165.8354428,423.8,180.9684588
IFERT ,ALL ,1,10.91855706,73.964,189.0681004,104.1855433,384.55,195.4818996
IFERT ,ALL ,1,14.39503967,48.24419324,141.0394265,78.40019361,409.75,268.7105735
IFERT ,ALL ,1,10.78563272,68.85288889,148.7455197,69.1069981,396.75,248.0044803
IFERT ,ALL ,2,10.37878924,37.78302355,120.1923077,72.0304949,320.275,200.0826923
IFERT ,ALL ,2,11.45885837,33.00906999,100.9200928,56.45216448,333.625,232.7049072
IFERT ,ALL ,2,10.58035714,32.91944587,77.77961981,34.27981679,320.675,242.8953802
IFERT ,ALL ,2,18.95647321,43.05797845,144.5402299,82.52577822,336.975,192.4347701
CMPT,B,1,11.55761636,62.32148792,318.9964158,245.1173115,422.55,103.5535842
CMPT,B,1,,,,,,
CMPT,B,1,45.05966135, ,315.0537634, ,746.4,431.3462366
CMPT,B,1,32.82039755,87.33598068,243.5483871,123.3920089,510.6,267.0516129
CMPT,B,2,22.60832193,38.28990053,118.2581786,57.35995614,327.675,209.4168214
CMPT,B,2,24.76846018,37.05374137,132.0402299,70.21802833,330.875,198.8347701
CMPT,B,2,32.89620536,42.77065162,203.2217065,127.5548495,372.775,169.5532935
CMPT,B,2,20.98723604,39.20406883,162.7873563,102.5960514,335.525,172.7376437
CNTL ,B,1,9.118966053,61.43129578,366.3082437,295.7579819,421.5,55.19175627
CNTL ,B,1,8.37765726,50.92052174,437.6344086,378.3362296,358.2,-79.4344086
CNTL ,B,1,12.04330143,70.8752588,427.4193548,344.5007946,440.65,13.23064516
CNTL ,B,1,9.778475256,58.84588989,427.4193548,358.7949897,355.2,-72.21935484
CNTL ,B,2,10.35244827,30.01132042,148.1681034,107.8043348,302.675,154.5068966
CNTL ,B,2,12.4450822,27.6596871,148.2371795,108.1324102,367.875,219.6378205
CNTL ,B,2,9.4921875,29.717804,130.3579981,91.14800658,274.175,143.8170019
CNTL ,B,2,10.45200893,28.12724474,168.9599912,130.3807375,308.375,139.4150088
IFERT ,B,1,13.63328098,108.2538551,203.5842294,81.69709334,421.5,217.9157706
IFERT ,B,1,7.580111247,61.58724408,306.8100358,237.6426805,381.45,74.63996416
IFERT ,B,1,18.98092924,52.6403285,279.390681,207.7694233,439.45,160.059319
IFERT ,B,1,12.47786176,110.2702438,402.8673835,280.1192779,397.55,-5.317383513
IFERT ,B,2,14.72719254,35.58483259,155.2829355,104.9709103,336.025,180.7420645
IFERT ,B,2,11.89763645,38.48644466,153.0725022,102.6884211,352.775,199.7024978
IFERT ,B,2,11.94826469,33.54698025,120.4686118,74.9733669,359.725,239.2563882
IFERT ,B,2,15.68368233,36.00747636,172.4137931,120.7226344,344.025,171.6112069
CMPT,BO,1,31.19463067,88.04227053,160.0548446,40.8179434,432.2,272.1451554
CMPT,BO,1,31.36845481,99.50023188,333.9122486,203.0435619,477.7,143.7877514
CMPT,BO,1,52.74371043,92.96883092,245.6124314,99.8998901,463.95,218.3375686
CMPT,BO,1,27.74371043,77.73211594,268.2815356,162.8057093,378.6,110.3184644
CMPT,BO,2,13.25334821,34.858902,135.5962644,87.48401415,345.575,209.9787356
CMPT,BO,2,14.88648845,43.32706231,191.6169319,133.4033812,364.325,172.7080681
CMPT,BO,2,34.39345118,52.75658319,226.4427682,139.2927338,370.325,143.8822318
CMPT,BO,2,26.09375,46.10569523,220.545977,148.3465318,391.425,170.879023
CNTL ,BO,1,12.85107239,77.87704348,166.9104205,76.1823046,352,185.0895795
