ftrt,time,pbic,amac,edta,pfix,ptot,porg
CMPT,1,18.11180859,67.57796565,473.4003656,387.7105914,263.25,0
CMPT,1,17.92264703,73.65482126,71.57221207,0,335.9,264.3277879
CMPT,1,16.58317873,78.64999034,97.71480804,2.481638974,253.8,156.085192
CMPT,1,20.31528507,98.84322705,431.7184644,312.5599522,411.15,0
IFERT ,1,0,105.0557874,394.6983547,295.8968118,320.6,0
IFERT ,1,18.87356728,92.5050628,164.9908592,53.61222915,401,236.0091408
IFERT ,1,30.91855706,5.355304348,124.0402194,87.76635798,312.8,188.7597806
IFERT ,1,0,67.59713596,272.9433272,206.6106608,400.05,127.1066728
CNTL ,1,1.317330061,4.469308335,188.8482633,183.0616249,392.7,203.8517367
CNTL ,1,0,8.108927536,212.797075,208.0180566,377.1,164.302925
CNTL ,1,18.98604172,100.3400238,321.4808044,202.1547389,415.2,93.71919561
CNTL ,1,14.43082699,23.25868599,99.36014625,61.67063327,342.25,242.8898537
CMPT,2,26.82778841,36.70991229,265.6609195,202.1232188,380.475,114.8140805
CMPT,2,22.17749079,36.23144144,281.9683908,223.5594586,359.775,77.8066092
CMPT,2,21.99515769,42.56732154,265.9427498,201.3802706,373.925,107.9822502
CMPT,2,29.3359375,43.70446383,383.5907567,310.5503554,365.625,0
IFERT ,2,21.81919643,38.21446896,174.071618,114.0379527,371.375,197.303382
IFERT ,2,22.44419643,44.33042586,100.7128647,33.93824243,381.475,280.7621353
IFERT ,2,18.73883929,39.26629041,128.2051282,70.19999851,360.225,232.0198718
IFERT ,2,20.78683036,34.26372499,323.4255268,268.3749715,352.525,29.09947318
CNTL ,2,14.86049107,35.16675218,221.8031609,171.7759177,322.525,100.7218391
CNTL ,2,16.81361607,36.11082606,109.5545977,56.63015557,377.425,267.8704023
CNTL ,2,16.57924107,36.87018984,128.5620211,75.11259016,349.775,221.2129789
CNTL ,2,12.41629464,36.00820934,126.8678161,78.44331211,304.075,177.2071839
