time,ctrt,ftrt,pbic,amac,edta,pfix,ptot,porg
T1,All,Compost,28.76502082,44.82435597,58.26271186,-15.32666493,351.4,293.1372881
T1,All,Compost,98.03926234,99.70491803,104.0987614,-93.64541897,387.55,283.4512386
T1,All,Compost,24.78723302,38.36075017,90.65352021,27.50553702,364.7,274.0464798
T1,Faba Oat,Compost,46.35964043,68.04579755,155.3672316,40.96179366,358.05,202.6827684
T1,Faba Oat,Compost,61.85246877,85.81264637,191.3135593,43.64844418,384.85,193.5364407
T1,Faba Oat,Compost,70.15313465,97.49660044,186.6525424,19.00280728,365.25,178.5974576
T1,Radish,Compost,116.343843,82.26697892,156.779661,-41.83116085,363.35,206.570339
T1,Radish,Compost,94.3866746,61.82669789,93.22033898,-62.99303351,356.85,263.629661
T1,Radish,Compost,126.3339282,76.56674473,126.303781,-76.59689198,443.85,317.546219
T1,Faba,Compost,39.86194914,63.88703022,257.7004563,153.951477,365.55,107.8495437
T1,Faba,Compost,20.49018441,63.19437939,305.4378531,221.7532893,479.5,174.0621469
T1,Faba,Compost,83.39916716,76.2295082,293.2997881,133.6711128,363.95,70.65021186
T1,Oat,Compost,28.27115379,62.7067767,69.91525424,-21.06267625,359.75,289.8347458
T1,Oat,Compost,27.56886018,76.05665217,72.16631356,-31.45919879,365.7,293.5336864
T1,Oat,Compost,67.62320236,85.34534032,181.3070404,28.33849773,524,342.6929596
T1,Control,Compost,33.15526472,61.28337237,90.24608866,-4.192548436,354.55,264.3039113
T1,Control,Compost,28.21213752,60.99680309,34.83539765,-54.37354296,332.05,297.2146023
T1,Control,Compost,29.24092802,64.83372365,93.50554107,-0.5691106,377.65,284.1444589
T1,All,Control,25.74525745,61.18731646,55.08474576,-31.84782815,329.55,274.4652542
T1,All,Control,57.99762046,62.09836066,81.56779661,-38.52818451,344.45,262.8822034
T1,All,Control,30.13016628,58.76175607,141.4636299,52.57170759,355.05,213.5863701
T1,Faba Oat,Control,9.444963788,54.11508866,87.92372881,24.36367637,356.5,268.5762712
T1,Faba Oat,Control,21.11118574,56.95210395,83.89830508,5.835015397,321.25,237.3516949
T1,Faba Oat,Control,8.824509221,49.60655738,111.2288136,52.79774696,320.55,209.3211864
T1,Radish,Control,52.49851279,64.11007026,269.279661,152.671078,346.15,76.87033898
T1,Radish,Control,15.80691765,53.90753751,63.15189048,-6.562564679,310.2,247.0481095
T1,Radish,Control,14.74256875,51.76777215,62.5,-4.010340897,310.7,248.2
T1,Faba,Control,71.32897085,60.00624512,118.5625815,-12.77263448,335.65,217.0874185
T1,Faba,Control,90.16151573,62.59370779,112.5,-40.25522352,365.05,252.55
T1,Faba,Control,46.11767372,62.69903225,134.180791,25.36408499,311.2,177.019209
T1,Oat,Control,12.74987489,44.28738709,66.94915254,9.911890567,321.1,254.1508475
T1,Oat,Control,9.621653778,50.26229508,113.3474576,53.46350877,307.15,193.8025424
T1,Oat,Control,12.72036675,51.70346827,174.3644068,109.9405718,313.95,139.5855932
T1,Control,Control,12.57822725,39.31615925,83.05084746,31.15646096,306.1,223.0491525
T1,Control,Control,10.80233799,49.64034794,136.2288136,75.78612763,305.1,168.8711864
T1,Control,Control,10.36561759,43.17683357,248.1258149,194.5833637,313.45,65.32418514
T2,All,Compost,102.9916527,96.71573547,248.5169492,48.80956094,356,107.4830508
T2,All,Compost,36.05539975,53.04635515,160.5932203,71.49146544,330,169.4067797
T2,All,Compost,23.6973929,46.41091409,112.1115819,42.00327493,329.6,217.4884181
