ftrt,ctrt,time,wbio,cbio,pbic,amac,edta,unavp,porg,ptot,caco3,inorgcarbon,sph2,amm,nit,pmn,pmc,rate2,seed2
CMPT,ALL ,1,4.82,27.95,26.905,66.712,102.578,8.960,229.572,332.15,5.151639433,0.618196732,7.69,4.361,5.116,9.298,158.946,1,7
CMPT,ALL ,1,2.85,26.57,20.621,60.101,104.572,23.850,281.628,386.2,5.281153539,0.633738425,7.99,1.927,15.806,11.096,57.319,1,7
CMPT,ALL ,1,5.08,52.73,18.669,69.022,114.689,26.997,318.011,432.7,5.399874803,0.647984976,8.02,2.721,15.426,27.243,89.401,3,3
CMPT,ALL ,1,1.07,25.37,35.049,72.554,133.658,26.055,332.692,466.35,5.58335312,0.670002374,7.62,2.489,16.181,14.644,263.538,1,7
CMPT,ALL ,2,5.48,26.22,30.651,65.320,138.228,42.257,209.847,348.075,,,,3.695,33.921,24.255,149.782,,
CMPT,ALL ,2,2.7,17.98,26.861,55.158,120.214,38.195,221.861,342.075,,,,3.390,29.103,28.513,153.222,,
CMPT,ALL ,2,1.01,38.46,35.102,61.747,137.485,40.636,265.790,403.275,,,,4.557,16.029,38.438,176.265,,
CMPT,ALL ,2,2.3,39.36,22.283,55.214,126.852,49.355,181.523,308.375,,,,4.080,23.706,14.304,132.989,,
CMPT,B,1,2.93,5.65,11.558,63.054,160.506,85.894,262.044,422.55,5.259567855,0.631148143,8,2.726,28.507,19.819,153.047,4,6
CMPT,B,1,4.06,29.09,.,.,.,.,.,.,5.917931228,0.710151747,8.2,5.001,11.770,11.702,256.647,4,6
CMPT,B,1,3.38,9.01,45.060,75.751,159.436,38.625,586.964,746.4,4.881818378,0.585818205,8.07,3.427,85.854,5.973,38.354,4,6
CMPT,B,1,2.75,37.4,32.820,86.369,140.029,20.840,370.571,510.6,5.43225333,0.6518704,8.25,3.836,7.827,7.824,131.390,4,6
CMPT,B,2,2.67,22.4,28.621,52.496,125.423,44.306,202.252,327.675,,,,2.003,12.575,8.796,100.257,,
CMPT,B,2,2.35,21.15,29.816,51.667,134.185,52.703,196.690,330.875,,,,5.429,14.530,24.324,151.918,,
CMPT,B,2,1.78,27.99,34.182,55.289,160.580,71.109,212.195,372.775,,,,2.386,12.576,9.169,139.464,,
CMPT,B,2,2.53,20.04,27.469,52.685,146.908,66.755,188.617,335.525,,,,2.908,16.286,13.974,158.812,,
CMPT,BO,1,2.71,32.08,30.947,75.860,193.628,86.821,238.572,432.2,4.871025536,0.584523064,8.12,7.152,5.183,8.719,228.695,2,10
CMPT,BO,1,0.84,12.71,31.368,81.926,286.138,172.844,191.562,477.7,1.244630561,0.149355667,8.01,2.560,25.905,6.988,113.390,4,6
CMPT,BO,1,1.2,40.55,52.744,78.610,239.154,107.800,224.796,463.95,.,.,8.14,2.295,9.416,7.087,151.772,2,4
CMPT,BO,1,3.67,31.84,27.744,70.876,251.216,152.596,127.384,378.6,5.173225117,0.620787014,8.13,3.298,10.554,4.070,135.303,2,10
CMPT,BO,2,3.23,17.84,23.318,49.979,138.971,65.674,206.604,345.575,,,,3.212,15.166,13.850,86.718,,
CMPT,BO,2,0.71,26.39,24.094,55.452,155.778,76.232,208.547,364.325,,,,3.190,21.000,6.652,157.895,,
CMPT,BO,2,2.52,20.16,35.139,62.206,176.563,79.218,193.762,370.325,,,,1.787,44.021,31.844,71.818,,
CMPT,BO,2,3.25,9.64,30.420,57.528,170.809,82.861,220.616,391.425,,,,3.150,28.931,19.038,145.244,,
CMPT,F,1,5.57,42.1,25.044,64.040,194.698,105.615,223.952,418.65,0.780538347,0.093664602,8,9.112,23.334,11.367,36.808,2,5
CMPT,F,1,3.01,20.01,18.414,69.861,201.702,113.427,204.148,405.85,5.119260906,0.614311309,8,2.530,34.564,13.182,86.811,2,7
CMPT,F,1,3.38,43.95,26.671,69.793,259.728,163.263,110.972,370.7,1.007188033,0.120862564,8.23,2.964,62.391,6.987,141.891,2,5
CMPT,F,1,6.31,27.31,28.546,80.190,257.296,148.560,179.454,436.75,5.000539642,0.600064757,8.18,5.184,50.176,5.578,221.923,2,7
CMPT,F,2,1.36,21,42.056,58.888,183.437,82.493,171.088,354.525,,,,3.280,51.373,25.754,149.606,,
CMPT,F,2,2.81,107,28.278,55.854,181.094,96.962,212.231,393.325,,,,5.079,59.511,29.173,89.179,,
CMPT,F,2,2.06,65.78,30.797,54.229,176.457,91.431,180.918,357.375,,,,2.978,37.752,20.763,150.832,,
CMPT,F,2,3.13,69.98,35.071,57.365,160.214,67.777,219.611,379.825,,,,3.506,58.563,21.752,133.731,,
CMPT,FLW,1,1.9,.,18.112,75.076,360.360,267.172,-97.110,263.25,5.378289119,0.645394694,8.35,2.281,26.038,3.660,19.834,3,6
CMPT,FLW,1,1.88,.,17.923,77.445,146.547,51.180,189.353,335.9,6.435987653,0.772318518,8.17,2.982,85.669,4.276,63.015,4,5
CMPT,FLW,1,1.51,.,16.583,87.019,160.457,56.856,93.343,253.8,5.443046172,0.653165541,8.13,2.500,41.147,10.029,26.520,2,6
CMPT,FLW,1,0.28,.,20.315,89.964,338.181,227.902,72.969,411.15,5.281153539,0.633738425,7.95,2.490,37.104,5.983,21.364,2,6
CMPT,FLW,2,2.45,.,30.699,51.011,189.477,107.767,190.998,380.475,,,,1.829,9.832,17.499,46.488,,
CMPT,FLW,2,2.1,.,28.127,50.690,193.165,114.349,166.610,359.775,,,,2.591,3.699,2.663,58.707,,
CMPT,FLW,2,1.51,.,28.282,55.367,186.534,102.885,187.391,373.925,,,,1.351,3.711,17.271,94.511,,
CMPT,FLW,2,1.71,.,32.213,55.916,241.590,153.461,124.035,365.625,,,,5.514,24.911,16.160,99.549,,
CMPT,FO,1,1.37,11.27,43.465,83.314,232.393,105.615,183.607,416,1.805858355,0.216703003,8.09,1.621,40.298,13.369,95.625,2,8
CMPT,FO,1,1.08,34.2,42.597,84.156,290.613,163.860,147.437,438.05,0.802124031,0.096254884,8.13,3.021,14.950,7.439,96.480,1,10
CMPT,FO,1,2.22,15.77,37.529,82.784,270.088,149.775,104.262,374.35,1.115116455,0.133813975,8.13,2.309,13.112,19.412,120.295,2,8
CMPT,FO,1,3.81,49.59,31.962,78.704,302.432,191.767,145.918,448.35,3.381613314,0.405793598,8.08,2.466,25.707,19.203,87.190,4,4
CMPT,FO,2,2.37,58.89,28.791,52.517,180.797,99.488,183.678,364.475,,,,6.230,57.729,34.762,70.578,,
CMPT,FO,2,6.01,44.31,34.909,59.449,177.467,83.109,206.408,383.875,,,,4.923,53.067,15.432,112.607,,
CMPT,FO,2,2.66,46.69,29.895,52.466,157.551,75.190,184.824,342.375,,,,5.724,45.968,32.280,125.964,,
CMPT,FO,2,0.45,8.75,28.911,51.694,186.266,105.662,158.059,344.325,,,,5.645,10.515,22.167,72.111,,
CMPT,O,1,1.58,18.15,16.701,73.919,209.533,118.914,168.067,377.6,1.395730352,0.167487642,8.28,.,.,.,.,4,8
CMPT,O,1,2.56,12.1,22.171,63.794,467.802,381.836,249.598,717.4,1.201459192,0.144175103,8.28,2.752,9.084,6.012,101.517,3,6
CMPT,O,1,3.06,20.47,29.564,78.272,158.463,50.627,136.487,294.95,1.417316036,0.170077924,8.14,2.871,9.151,10.865,106.120,1,10
CMPT,O,1,1.6,23.24,16.282,75.594,209.971,118.095,74.779,284.75,5.453839014,0.654460682,8.43,1.317,25.884,33.799,145.967,1,5
CMPT,O,2,0.15,0,28.007,50.150,168.469,90.312,214.006,382.475,,,,NA,8.139,17.939,28.014,,
CMPT,O,2,0.81,1.12,26.380,56.109,162.353,79.864,215.922,378.275,,,,2.254,5.568,9.083,177.369,,
CMPT,O,2,2.12,4.63,33.975,56.497,179.964,89.492,189.461,369.425,,,,3.465,8.012,19.265,155.719,,
CMPT,O,2,1.63,0,35.864,56.942,285.203,192.397,271.622,556.825,,,,3.521,7.781,26.434,54.929,,
CMPT,R,1,2.74,19.79,27.797,70.850,188.035,89.388,198.365,386.4,5.076089537,0.609130744,8.16,3.584,3.544,16.610,91.479,2,6
CMPT,R,1,3.28,32.04,30.479,65.785,305.302,209.037,80.948,386.25,0.866881084,0.10402573,8.16,2.613,4.674,12.224,145.736,1,10
CMPT,R,1,3.16,33,21.624,61.509,330.788,247.655,59.762,390.55,1.050359402,0.126043128,8.2,1.436,14.927,15.914,160.594,1,6
CMPT,R,1,3.43,7.53,21.527,60.150,316.634,234.957,100.616,417.25,0.758952663,0.09107432,8.26,5.452,14.804,11.607,58.540,2,4
CMPT,R,2,2.97,17.78,30.488,54.947,205.170,119.735,178.905,384.075,,,,1.908,12.670,6.918,62.742,,
CMPT,R,2,4.98,21.2,26.454,49.559,167.440,91.427,183.985,351.425,,,,3.114,17.504,5.258,85.488,,
CMPT,R,2,3.96,23.19,25.630,52.493,176.694,98.572,146.031,322.725,,,,3.078,16.819,17.119,84.746,,
CMPT,R,2,2.39,22.23,31.281,52.201,254.578,171.095,109.097,363.675,,,,1.802,25.098,16.801,37.113,,
CMPT,RO,1,2.85,31.41,13.109,60.787,119.212,45.316,235.938,355.15,4.795475641,0.575457077,8.08,2.636,16.146,16.440,94.391,4,3
CMPT,RO,1,5.32,32.64,16.604,72.269,161.235,72.363,241.065,402.3,1.795065513,0.215407862,8.06,1.993,15.345,10.052,106.065,1,6
CMPT,RO,1,2.18,31.81,34.395,72.112,144.942,38.434,212.008,356.95,2.852764047,0.342331686,8,2.933,3.853,6.563,180.229,4,7
CMPT,RO,1,1.68,31.86,.,101.097,137.160,.,305.590,442.75,.,.,8.12,2.112,31.571,8.663,116.856,2,7
CMPT,RO,2,0.9,19.44,22.949,50.924,136.185,62.312,239.590,375.775,,,,1.307,30.107,10.677,67.108,,
CMPT,RO,2,4.68,21.21,23.606,52.875,123.960,47.479,210.565,334.525,,,,2.414,11.573,15.236,171.595,,
CMPT,RO,2,1.8,10.1,22.762,47.670,127.527,57.095,218.798,346.325,,,,2.833,15.002,13.318,70.022,,
CMPT,RO,2,1.85,21.21,26.667,52.569,135.875,56.639,222.850,358.725,,,,2.853,24.927,30.935,42.433,,
CNTL ,ALL ,1,1.91,34.71,13.250,62.750,122.909,46.909,211.741,334.65,4.288212058,0.514585447,7.83,2.025,18.645,9.327,59.477,2,5
CNTL ,ALL ,1,1.34,17.87,16.563,61.099,143.385,65.724,264.715,408.1,3.488462452,0.418615494,7.97,2.393,9.578,14.783,78.164,2,7
CNTL ,ALL ,1,4.39,25.7,8.149,63.882,116.975,44.944,309.925,426.9,5.227189328,0.627262719,8.1,2.519,15.015,9.320,98.121,2,5
CNTL ,ALL ,1,1.3,11.22,12.779,56.712,115.224,45.732,236.576,351.8,4.655168692,0.558620243,8.01,1.459,67.926,5.546,172.013,2,5
CNTL ,ALL ,2,3.08,31.55,22.797,49.733,118.277,45.747,227.248,345.525,,,,7.917,35.600,22.327,330.016,,
CNTL ,ALL ,2,3.12,32.83,21.929,49.119,119.798,48.750,210.077,329.875,,,,3.532,33.211,9.614,129.335,,
CNTL ,ALL ,2,1.72,40.15,22.349,49.778,127.638,55.511,182.387,310.025,,,,0.850,21.731,8.293,84.101,,
CNTL ,ALL ,2,2.53,50.36,21.160,49.299,124.542,54.082,162.283,286.825,,,,1.654,22.479,15.553,58.475,,
CNTL ,B,1,1.06,15.57,9.119,57.267,173.346,106.961,248.154,421.5,5.108468064,0.613016168,8.07,2.717,16.737,10.533,100.171,2,7
CNTL ,B,1,2.64,24.08,8.311,67.146,192.704,117.247,165.496,358.2,5.043711011,0.605245321,8.26,1.920,5.526,6.434,177.929,3,8
CNTL ,B,1,1.27,25.18,11.948,61.040,189.932,116.944,250.718,440.65,3.532713105,0.423925573,7.74,5.553,24.608,7.064,83.384,1,10
CNTL ,B,1,3.7,14.25,9.778,63.887,189.932,116.266,165.268,355.2,4.536447428,0.544373691,8.24,1.372,5.756,8.024,12.573,4,5
CNTL ,B,2,3.01,19.73,21.587,46.515,144.174,76.072,158.501,302.675,,,,2.426,19.821,25.117,162.791,,
CNTL ,B,2,2.07,14.91,22.744,44.937,137.828,70.148,230.047,367.875,,,,2.160,13.294,10.853,90.467,,
CNTL ,B,2,2.6,23.63,21.238,46.529,136.804,69.037,137.371,274.175,,,,3.768,9.895,46.868,181.953,,
CNTL ,B,2,0.77,17.43,21.769,45.461,146.403,79.173,161.972,308.375,,,,3.722,19.091,9.059,61.780,,
CNTL ,BO,1,0.58,28.79,12.851,70.950,197.276,113.475,154.724,352,1.687137091,0.202456451,8.17,1.717,7.743,6.959,258.784,1,8
CNTL ,BO,1,1.25,23.2,18.071,70.503,231.177,142.603,145.923,377.1,1.002870896,0.120344508,8.09,2.380,10.980,14.596,54.622,1,10
CNTL ,BO,1,4.91,31.34,14.753,65.550,249.757,169.454,141.843,391.6,5.842381333,0.70108576,8.14,2.552,4.100,18.112,34.335,3,8
CNTL ,BO,1,1.5,20.12,16.239,69.097,236.187,150.851,221.913,458.1,2.032508041,0.243900965,8.05,6.819,17.773,11.339,222.108,4,6
CNTL ,BO,2,3.44,16.89,22.548,49.042,150.800,79.210,186.325,337.125,,,,6.145,40.089,6.779,90.379,,
CNTL ,BO,2,3.83,24.7,19.243,47.952,151.205,84.009,195.670,346.875,,,,3.803,17.015,13.707,140.571,,
CNTL ,BO,2,1.45,16.41,20.627,53.147,162.067,88.293,202.358,364.425,,,,8.753,19.256,7.957,56.092,,
CNTL ,BO,2,1.03,14.41,19.463,50.661,157.322,87.198,186.103,343.425,,,,4.282,49.685,10.214,115.247,,
CNTL ,F,1,2.71,52.51,5.003,74.128,194.212,115.081,221.088,415.3,5.032918169,0.60395018,8,3.455,6.261,27.139,55.202,1,8
CNTL ,F,1,2.96,38.61,9.909,73.926,161.673,77.838,217.727,379.4,5.140846591,0.616901591,8.09,3.011,9.518,10.361,71.888,2,8
CNTL ,F,1,2.9,35.04,22.680,67.842,193.337,102.815,217.063,410.4,5.216396486,0.625967578,8.04,2.446,21.204,21.188,113.127,1,10
CNTL ,F,1,2.7,38.76,10.387,.,219.844,.,167.256,387.1,2.442636044,0.293116325,8.01,3.203,42.607,24.912,103.844,1,10
CNTL ,F,2,1.53,8.45,22.457,54.722,142.916,65.737,215.709,358.625,,,,3.614,15.862,25.113,231.589,,
CNTL ,F,2,0.04,0,44.282,57.508,168.636,66.846,222.889,391.525,,,,3.353,27.347,42.707,106.318,,
CNTL ,F,2,2.32,47.58,25.215,53.935,165.577,86.427,167.298,332.875,,,,2.127,40.268,8.694,97.893,,
CNTL ,F,2,2.05,65.2,21.113,47.543,154.063,85.407,177.512,331.575,,,,0.843,49.716,4.346,92.412,,
CNTL ,FLW,1,0.71,.,1.317,35.535,208.949,172.097,183.751,392.7,.,.,8.27,1.609,8.424,0.620,48.527,2,7
CNTL ,FLW,1,0.87,.,-3.303,87.409,221.693,137.587,155.407,377.1,5.270360697,0.632443284,8.05,2.794,19.654,2.769,159.846,4,5
CNTL ,FLW,1,1.61,.,18.986,43.225,279.523,217.312,135.677,415.2,5.43225333,0.6518704,8.26,7.854,39.415,1.283,59.912,4,5
CNTL ,FLW,1,0.19,.,14.316,29.867,161.333,117.149,180.917,342.25,4.622790166,0.55473482,8.29,4.929,5.422,0.254,52.439,4,5
CNTL ,FLW,2,1.44,.,24.207,50.186,174.643,100.251,147.882,322.525,,,,1.285,4.673,5.520,120.363,,
CNTL ,FLW,2,0.47,.,25.287,50.820,121.822,45.715,255.603,377.425,,,,2.026,7.068,17.768,76.113,,
CNTL ,FLW,2,0.5,.,25.157,51.329,136.061,59.574,213.714,349.775,,,,2.136,6.515,11.745,70.641,,
CNTL ,FLW,2,0.98,.,22.855,50.751,132.045,58.440,172.030,304.075,,,,4.305,31.899,20.515,83.281,,
CNTL ,FO,1,2.84,17.93,11.481,52.617,302.335,238.236,95.615,397.95,2.237572042,0.268508645,8,6.372,48.757,124.727,182.250,4,5
CNTL ,FO,1,3.81,37.76,15.049,48.032,299.562,236.481,117.438,417,2.744835625,0.329380275,8.01,2.186,22.577,11.096,64.621,4,8
CNTL ,FO,1,3.81,20.72,9.381,47.865,289.202,231.956,147.348,436.55,4.590411639,0.550849397,8.16,2.849,4.018,12.664,243.089,2,10
CNTL ,FO,1,4.83,44.39,5.714,53.155,283.074,224.205,117.976,401.05,0.629438556,0.075532627,8.15,7.866,4.554,14.507,154.836,1,10
CNTL ,FO,2,1.26,39.04,22.664,53.340,190.193,114.188,166.282,356.475,,,,4.284,140.157,14.848,73.647,,
CNTL ,FO,2,2.02,13.19,27.269,54.762,197.496,115.464,129.629,327.125,,,,2.048,14.886,12.631,90.574,,
CNTL ,FO,2,3.7,54.28,21.320,49.938,195.852,124.594,147.473,343.325,,,,2.972,50.639,8.713,134.886,,
CNTL ,FO,2,3.52,60.53,21.862,50.676,164.269,91.731,167.856,332.125,,,,4.155,43.867,12.830,81.010,,
CNTL ,O,1,0.69,16.79,11.016,70.852,156.177,74.310,179.673,335.85,1.384937509,0.166192501,8.21,3.560,17.039,5.396,100.961,3,3
CNTL ,O,1,3.28,17.92,10.060,72.862,283.755,200.833,93.195,376.95,5.637317331,0.67647808,8.41,9.945,11.839,5.578,69.585,4,3
CNTL ,O,1,2.91,29.05,11.522,70.904,317.802,235.376,54.048,371.85,3.770155633,0.452418676,8.16,.,.,6.598,70.592,2,5
CNTL ,O,1,1.55,15.18,8.849,65.473,300.486,226.165,195.164,495.65,3.424784683,0.410974162,8.16,2.546,38.829,21.512,140.734,2,6
CNTL ,O,2,0.49,11.04,21.244,48.455,157.313,87.614,142.662,299.975,,,,2.544,6.371,19.912,44.389,,
CNTL ,O,2,0.81,0,23.304,53.887,165.755,88.564,200.770,366.525,,,,1.422,11.502,24.013,81.874,,
CNTL ,O,2,2.8,1.63,22.905,54.152,196.938,119.880,196.737,393.675,,,,2.645,8.789,9.282,102.947,,
CNTL ,O,2,2.57,0.5,24.610,51.736,145.660,69.313,225.265,370.925,,,,1.967,15.147,7.507,94.060,,
CNTL ,R,1,0.36,18.08,16.191,70.736,111.965,25.038,286.385,398.35,4.363761953,0.523651434,8.08,1.965,53.996,11.777,64.262,4,4
CNTL ,R,1,0.71,25.41,10.883,52.058,166.926,103.985,212.774,379.7,5.162432275,0.619491873,8.08,2.445,25.766,4.419,29.043,2,8
