ctrt,wbio,cbio,pbic,porg,wbio,wbio 1,wbio 2,pbic 1,pbic 2
ALL ,2.495,33.13,12.66374669,199.3599407,2.495,1.91,3.08,13.2498454,12.07764797
ALL ,2.23,25.35,13.60191285,192.3954533,2.23,1.34,3.12,16.69565317,10.50817252
ALL ,3.055,32.925,9.740827104,235.0576173,3.055,4.39,1.72,8.214058078,11.26759613
ALL ,1.915,30.79,10.94910317,192.8750425,1.915,1.3,2.53,12.77949775,9.118708597
RO,1.15,14.14,15.76779872,145.5236204,1.15,1.08,1.22,21.12305603,10.4125414
RO,2.26,10.185,13.32133986,143.5857696,2.26,3.16,1.36,14.95741186,11.68526786
RO,1.4,14.7,14.46586116,199.3235,1.4,0.75,2.05,17.07908875,11.85263357
RO,1.655,8.24,12.66902605,245.6462247,1.655,0.81,2.5,15.15168589,10.18636621
BO,2.01,22.84,12.23934578,179.0161739,2.01,0.58,3.44,12.85107239,11.62761917
BO,2.54,23.95,11.86219781,156.3943311,2.54,1.25,3.83,18.07090879,5.653486823
BO,3.18,23.875,11.57009483,141.8360171,3.18,4.91,1.45,14.75291288,8.387276786
BO,1.265,17.265,11.32596848,183.0706995,1.265,1.5,1.03,16.36845481,6.283482143
FO,2.05,28.485,11.89103683,57.64475588,2.05,2.84,1.26,11.48092924,12.30114442
FO,2.915,25.475,17.83841399,53.97738908,2.915,3.81,2.02,15.0494364,20.62739158
FO,3.755,37.5,9.663599835,75.87126459,3.755,3.81,3.7,9.456389366,9.870810303
FO,4.175,52.46,8.259370124,100.1400279,4.175,4.83,3.52,5.668045808,10.85069444
R,1.115,18.78,13.08665674,232.1574821,1.115,0.36,1.87,16.06170634,10.11160714
R,2.515,25.335,8.823922776,103.9911005,2.515,0.71,4.32,10.88276973,6.765075822
R,3.855,20.97,13.25249719,8.343206,3.855,4.51,3.2,12.33471247,14.1702819
R,2.465,25.825,11.46937507,136.7860342,2.465,0.95,3.98,11.1690683,11.76968183
B,2.035,17.65,9.735707162,104.8493264,2.035,1.06,3.01,9.118966053,10.35244827
B,2.355,19.495,10.41136973,70.10170595,2.355,2.64,2.07,8.37765726,12.4450822
B,1.935,24.405,10.76774447,78.52382353,1.935,1.27,2.6,12.04330143,9.4921875
B,2.235,15.84,10.11524209,33.59782698,2.235,3.7,0.77,9.778475256,10.45200893
F,2.12,30.48,8.233953931,226.1202745,2.12,2.71,1.53,5.003424131,11.46448373
F,1.5,19.305,30.6869377,231.81966,1.5,2.96,0.04,9.988086708,51.38578869
F,2.61,41.31,19.88699345,187.9331513,2.61,2.9,2.32,22.86129734,16.91268955
F,2.375,51.98,9.710593954,160.9395236,2.375,2.7,2.05,10.38685971,9.034328197
O,0.59,13.915,10.37405133,179.1115166,0.59,0.69,0.49,11.01569407,9.732408588
O,2.045,8.96,11.75892205,102.8541972,2.045,3.28,0.81,10.05966135,13.45818275
O,2.855,15.34,11.85217004,48.21194077,2.855,2.91,2.8,11.4298045,12.27453557
O,2.06,7.84,12.13840621,172.9636857,2.06,1.55,2.57,8.91957955,15.35723286
FLW,1.075,0,8.088910566,152.2867879,1.075,0.71,1.44,1.317330061,14.86049107
FLW,0.67,0,8.406808035,216.0866637,0.67,0.87,0.47,0,16.81361607
FLW,1.055,0,17.7826414,157.4660873,1.055,1.61,0.5,18.98604172,16.57924107
FLW,0.585,0,13.42356082,210.0485188,0.585,0.19,0.98,14.43082699,12.41629464
