ctrt,wbio 1,wbio 2,wbio com,cbio 1,cbio 2,cbio com
ALL ,1.91,3.08,2.495,34.71,31.55,33.13
ALL ,1.34,3.12,2.23,17.87,32.83,25.35
ALL ,4.39,1.72,3.055,25.7,40.15,32.925
ALL ,1.3,2.53,1.915,11.22,50.36,30.79
RO,1.08,1.22,1.15,12.6,15.68,14.14
RO,3.16,1.36,2.26,10.21,10.16,10.185
RO,0.75,2.05,1.4,17,12.4,14.7
RO,0.81,2.5,1.655,7.95,8.53,8.24
BO,0.58,3.44,2.01,28.79,16.89,22.84
BO,1.25,3.83,2.54,23.2,24.7,23.95
BO,4.91,1.45,3.18,31.34,16.41,23.875
BO,1.5,1.03,1.265,20.12,14.41,17.265
FO,2.84,1.26,2.05,17.93,39.04,28.485
FO,3.81,2.02,2.915,37.76,13.19,25.475
FO,3.81,3.7,3.755,20.72,54.28,37.5
FO,4.83,3.52,4.175,44.39,60.53,52.46
R,0.36,1.87,1.115,18.08,19.48,18.78
R,0.71,4.32,2.515,25.41,25.26,25.335
R,4.51,3.2,3.855,22.38,19.56,20.97
R,0.95,3.98,2.465,25.06,26.59,25.825
B,1.06,3.01,2.035,15.57,19.73,17.65
B,2.64,2.07,2.355,24.08,14.91,19.495
B,1.27,2.6,1.935,25.18,23.63,24.405
B,3.7,0.77,2.235,14.25,17.43,15.84
F,2.71,1.53,2.12,52.51,8.45,30.48
F,2.96,0.04,1.5,38.61,0,19.305
F,2.9,2.32,2.61,35.04,47.58,41.31
F,2.7,2.05,2.375,38.76,65.2,51.98
O,0.69,0.49,0.59,16.79,11.04,13.915
O,3.28,0.81,2.045,17.92,0,8.96
O,2.91,2.8,2.855,29.05,1.63,15.34
O,1.55,2.57,2.06,15.18,0.5,7.84
FLW,0.71,1.44,1.075,0,0,0
FLW,0.87,0.47,0.67,0,0,0
FLW,1.61,0.5,1.055,0,0,0
FLW,0.19,0.98,0.585,0,0,0
