ctrt,time,amac,edta,pfix,ptot
MIX,1,61.72245411,180.4659498,105.4936503,334.65
MIX,1,58.96091174,255.9139785,180.2574136,408.1
MIX,1,64.44362012,158.6021505,85.94447234,426.9
MIX,1,49.8287343,152.1505376,89.54230558,351.8
RO,1,79.45397209,378.8530466,278.2760185,443.75
RO,1,57.67414493,211.1517367,138.52018,307.1
RO,1,54.75627053,120.9323583,49.09699903,372.5
RO,1,60.89711295,115.9963437,39.94754485,415.1
BO,1,77.87704348,166.9104205,76.1823046,352
BO,1,76.99781643,230.6215722,135.552847,377.1
BO,1,67.23936232,265.5393053,183.5470301,391.6
BO,1,74.71890576,240.0365631,148.9492025,458.1
FO,1,41.76110145,364.3510055,311.1089748,397.95
FO,1,32.72728502,359.1407678,311.3640464,417
FO,1,32.88929147,339.6709324,297.3252515,436.55
FO,1,42.32189886,328.1535649,280.1636202,401.05
R,1,76.9564633,140.1433692,47.12519954,398.35
R,1,40.65965217,342.6523297,291.1099078,379.7
R,1,56.2345314,544.8028674,476.2336235,443.1
R,1,51.09443478,230.8243728,168.5608697,386.7
B,1,61.43129578,366.3082437,295.7579819,421.5
B,1,50.92052174,437.6344086,378.3362296,358.2
B,1,70.8752588,427.4193548,344.5007946,440.65
B,1,58.84588989,427.4193548,358.7949897,355.2
F,1,82.74168009,161.1517367,73.40663253,415.3
F,1,71.65482126,100,18.35709204,379.4
F,1,71.90087033,159.5063985,64.74423086,410.4
F,1,72.24593589,209.3235832,126.6907876,387.1
O,1,73.16611073,89.67093236,5.489127561,335.85
O,1,77.68380676,329.4332724,241.6898043,376.95
O,1,81.64515942,393.4186472,300.3436832,371.85
O,1,77.28761493,360.8775137,274.6703192,495.65
FLW,1,4.469308335,188.8482633,183.0616249,392.7
FLW,1,8.108927536,212.797075,208.0180566,377.1
FLW,1,100.3400238,321.4808044,202.1547389,415.2
FLW,1,23.25868599,99.36014625,61.67063327,342.25
MIX,2,34.17281815,100.9891689,54.73870275,345.525
MIX,2,33.25733627,97.27011494,53.50460615,329.875
MIX,2,34.24005694,108.2076149,62.69996188,310.025
MIX,2,33.5262914,100.7243774,58.0793774,286.825
RO,2,37.31752429,138.0747126,90.34464695,364.225
RO,2,38.17342227,134.0517241,84.19303401,325.275
RO,2,32.936659,158.1956418,113.4063492,305.275
RO,2,35.71224967,115.0862069,69.18759102,307.275
BO,2,33.14354756,164.1822318,119.4110651,337.125
BO,2,31.51947235,180.5647657,143.3918065,346.875
BO,2,39.57927142,206.8136605,158.8471123,364.425
BO,2,35.87480759,195.347038,153.1887483,343.425
FO,2,40.18137099,274.7844828,222.3019674,356.475
FO,2,42.298859,277.029454,214.1032034,327.125
FO,2,35.11161605,288.4615385,243.4791121,343.325
FO,2,36.21108098,204.7413793,157.6796039,332.125
R,2,29.64597229,104.1666667,64.40908723,310.275
R,2,28.72861134,93.54046935,58.04678219,264.475
R,2,28.67475463,214.1357206,171.2906841,332.525
R,2,31.4263725,196.7285588,153.5325045,314.425
B,2,30.01132042,148.1681034,107.8043348,302.675
B,2,27.6596871,148.2371795,108.1324102,367.875
B,2,29.717804,130.3579981,91.14800658,274.175
B,2,28.12724474,168.9599912,130.3807375,308.375
F,2,41.60528973,160.5327144,107.462941,358.625
F,2,46.39131178,207.2856801,109.5085796,391.525
F,2,41.06705107,207.9022989,149.9225582,332.875
F,2,30.90915109,187.4723696,147.5288903,331.575
O,2,32.90250597,187.9310345,145.2961199,299.975
O,2,40.99578946,208.3333333,153.8793611,366.525
O,2,40.75704662,275.6824713,222.6508891,393.675
O,2,37.15718565,159.7701149,107.2556964,370.925
FLW,2,35.16675218,221.8031609,171.7759177,322.525
FLW,2,36.11082606,109.5545977,56.63015557,377.425
FLW,2,36.87018984,128.5620211,75.11259016,349.775
FLW,2,36.00820934,126.8678161,78.44331211,304.075
